145617, 11, 4026, -766, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145649, 8, 4022, -715, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145681, 106, 4014, -668, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145713, 153, 4240, -863, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145745, -76, 4552, -612, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145777, 120, 4580, -595, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145809, 452, 4699, -38, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145841, 709, 4305, 286, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145873, 704, 4413, 695, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145905, 549, 4695, 941, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145938, 982, 5511, 1307, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
145984, 754, 5527, 1326, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146030, 457, 7018, 833, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146076, -201, 5062, 1415, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146122, -953, 2777, 1200, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146169, -1506, 882, 691, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146215, -2236, -318, 365, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146261, -2622, -1078, 562, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146307, -2460, -1109, 902, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146353, -1672, -748, 732, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146400, -848, -357, 270, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146434, 183, -54, -51, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146469, 1536, 834, -600, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146504, 3206, 3359, -1135, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146539, 4337, 3178, -796, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146574, 6695, 513, -808, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146609, 9967, -950, -941, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146644, 11769, 873, -1707, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146679, 9809, 3510, -2662, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146714, 5869, 4295, -2447, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146749, 5066, 1912, -1486, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146785, 4993, 1688, -1456, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146822, 4742, 1765, -864, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146858, 3917, 2010, -589, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146895, 3435, 2215, -1018, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146931, 3479, 2785, -1231, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
146968, 3908, 2945, -1083, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147004, 3875, 2599, -1263, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147041, 4107, 1818, -1278, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147077, 4024, 2153, -1419, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147114, 4390, 1220, -970, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147151, 8409, -11379, 7128, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
