231343, -460, 3598, -1921, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231384, -355, 3764, -1882, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231425, -483, 3551, -1882, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231467, -616, 3307, -1960, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231503, -153, 3722, -1813, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231539, -675, 3505, -1840, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231575, -589, 3940, -1729, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231611, -399, 3538, -1888, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231647, -446, 3858, -1820, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231683, 43, 3843, -1168, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231719, -93, 3438, -1732, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231755, -579, 4182, -1265, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231791, -188, 4112, -1003, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231827, -864, 4946, -1451, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231863, -1341, 5324, -742, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231899, -1948, 5247, -1270, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231935, -2222, 5615, -712, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
231976, -1844, 5311, 428, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232018, -2325, 4741, 915, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232060, -2229, 4223, 1842, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232102, -2492, 3561, 1959, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232144, -2651, 2676, 2302, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232186, -2086, 1444, 2037, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232227, -1685, 581, 858, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232269, -1104, -915, 617, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232311, -938, -1884, -122, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232353, -1047, -3264, -644, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232395, -843, -3332, -724, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232437, -549, -2996, -578, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232479, 81, -2034, -610, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232513, 964, -888, -304, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232547, 1564, -128, -65, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232582, 3010, 1554, 915, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232616, 2640, 4022, 515, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232650, 6346, 9089, 2531, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232685, 5124, 3626, 1063, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232719, 8781, 12128, -2683, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232754, 8525, 5981, 393, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232788, 6364, 5615, 344, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
