43689, -474, 4752, -1059, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
43734, -20, 3245, -525, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
43779, -303, 4467, -407, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
43825, -1531, 3643, -348, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
43870, -651, 4220, -436, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
43915, -1014, 3466, -259, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
43960, -223, 5243, 437, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44005, -1162, 4061, 616, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44051, -503, 4542, 191, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44083, -1060, 4103, 91, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44116, -991, 4212, -88, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44149, -1018, 4703, -111, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44181, -1674, 3590, -182, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44214, -1743, 3971, -556, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44247, -1938, 3677, -729, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44280, -2155, 3568, -784, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44312, -2118, 3249, -912, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44345, -2292, 3358, -532, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44378, -2355, 3197, -695, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44411, -2396, 2987, -435, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44456, -2599, 3197, -303, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44501, -2782, 2841, -7, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44546, -2866, 2846, 44, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44591, -3062, 2430, 377, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44636, -3027, 2420, 570, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44681, -3066, 2361, 784, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44726, -3253, 2523, 755, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44771, -3234, 2321, 812, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44816, -3250, 1840, 870, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44862, -3178, 1287, 603, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44893, -2970, 1146, 288, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44925, -2925, 876, 575, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44956, -2585, 1196, 482, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
44988, -2183, 862, 232, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45020, -1479, 1461, 317, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45051, -1215, 1252, 394, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45083, -428, 1760, 323, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45115, 176, 2411, 505, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45146, 813, 2570, 589, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45178, 2231, 3534, 1221, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45210, 3170, 3040, 182, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45251, 6053, 1722, 1923, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45293, 8948, 4860, 675, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45335, 7650, 3739, 588, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45377, 5661, 3039, 660, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45419, 3604, 1628, -1002, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45460, 3552, 1552, -352, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45502, 3782, 2042, 180, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45544, 2791, 815, -446, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45586, 1989, 741, -199, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45628, 2730, 2769, -2397, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45665, 4868, -277, -3123, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45702, 5889, -2162, -1239, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45739, 1578, 1090, -5702, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45776, 2393, -1277, -3877, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45814, 3551, -715, -1966, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45851, 1791, -1332, -2135, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45888, 5161, -1015, -3005, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45925, 2517, -1216, -2675, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
45962, 3425, -746, -2580, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46000, 2879, -1678, -2587, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46037, 3031, -723, -2896, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46074, 3023, -1885, -2462, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46111, 3001, -936, -2805, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46149, 3132, -1740, -2745, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46186, 3187, -1181, -2717, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46223, 2891, -1631, -2600, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46260, 3397, -1362, -2711, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46298, 3151, -1600, -2496, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46335, 3094, -1707, -2450, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46372, 3242, -1474, -2376, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46410, 3112, -1505, -2348, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46450, 3020, -1488, -2328, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
46490, 3053, -1538, -2375, 74, 5408038e-9225-4f0c-9931-7581911c4900, , transisi, transisi_bersedekap_ke_ruku, , 
