50436, -313, 3865, -1086, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50476, -203, 3942, -1154, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50515, -198, 3860, -1025, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50555, -226, 4115, -1240, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50594, -289, 4384, -956, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50634, 237, 3988, -819, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50670, 552, 4422, -597, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50707, 249, 3851, -217, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50744, 304, 4326, -478, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50781, -576, 4332, -631, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50818, -180, 4741, -797, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50854, -639, 4139, 180, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50891, -910, 4385, 580, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50928, -1267, 4731, 867, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
50965, -1663, 3959, 1635, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51002, -1769, 3435, 2801, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51039, -1837, 3604, 2859, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51078, -1742, 3225, 3265, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51117, -1702, 2580, 2911, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51156, -1988, 1833, 2599, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51196, -2092, 1404, 2646, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51235, -2579, 1134, 2149, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51274, -2804, 1245, 2006, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51314, -2990, -36, 1046, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
