117570, 730, 4588, -783, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117608, 214, 4317, -645, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117645, 714, 5134, -269, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117683, 726, 5606, 26, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117723, 534, 5500, 595, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117763, 504, 4352, 1276, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117804, 29, 2602, 1611, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117844, -425, 1974, 1380, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117885, -730, 1537, 570, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117925, -846, 1105, -151, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
117965, -459, 302, -61, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118006, -184, 828, -248, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118046, 790, 1397, -786, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118087, 1699, 2055, -1958, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118125, 1992, 3199, -2826, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118163, 3465, 2268, -1437, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118201, 5005, -882, 111, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118239, 9769, -1861, 996, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118277, 11198, 1141, 413, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118316, 8559, 2644, -679, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
