45715, -967, 3836, -1087, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45754, -1016, 3767, -1052, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45793, -1053, 3799, -1058, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45832, -990, 3666, -938, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45871, -1017, 3773, -1058, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45909, -1080, 3641, -897, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45947, -881, 3799, -1008, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
45985, -906, 3608, -787, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46023, -1092, 3609, -647, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46061, 255, 4247, -705, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46099, -998, 3801, -111, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46137, -486, 4897, 484, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46175, -604, 6379, -31, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46213, -1235, 5128, 458, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46251, -836, 5610, 1970, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46290, -1188, 5143, 2925, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46333, -1127, 5972, 2590, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46377, -1727, 4458, 2241, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46421, -2210, 4108, 1796, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46464, -2352, 2112, 2541, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46508, -2276, 2456, 1997, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
