159305, 1952, 2318, 2893, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159343, 1935, 2344, 2604, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159381, 1993, 2481, 2798, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159419, 1957, 2536, 2968, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159458, 1884, 2416, 2973, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159496, 1845, 2510, 2847, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159534, 1991, 2543, 2550, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159573, 1746, 2282, 2258, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159610, 1570, 2534, 2314, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159648, 1448, 2190, 2692, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159685, 1220, 2261, 2953, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159723, 947, 2509, 3239, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159761, 824, 2423, 3340, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159798, 806, 2767, 3697, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159836, 852, 3269, 4043, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159873, 1254, 2672, 2430, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159911, 1735, 2184, 2177, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
