171005, 1539, 1110, 3717, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171044, 1515, 1121, 3715, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171083, 1485, 1098, 3702, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171123, 1477, 1120, 3700, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171162, 1477, 1131, 3735, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171201, 1452, 1023, 3752, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171241, 1494, 1101, 3741, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171279, 1527, 1221, 3691, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171317, 1505, 1254, 3691, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171356, 1480, 1178, 3723, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171394, 1480, 1138, 3714, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171433, 1439, 1219, 3677, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171471, 1447, 1240, 3700, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171509, 1450, 1244, 3709, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171548, 1453, 1235, 3714, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171586, 1465, 1254, 3669, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171625, 1458, 1219, 3704, 94, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171669, 1489, 1206, 3695, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171713, 1495, 1200, 3694, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171757, 1474, 1209, 3692, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171802, 1475, 1181, 3684, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171846, 1485, 1221, 3684, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171890, 1479, 1200, 3699, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171935, 1483, 1174, 3701, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
171979, 1470, 1228, 3678, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172023, 1476, 1214, 3713, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172068, 1453, 1199, 3695, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172101, 1465, 1266, 3666, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172134, 1472, 1251, 3674, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172167, 1468, 1249, 3671, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172201, 1476, 1227, 3685, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172234, 1465, 1239, 3663, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
172267, 1491, 1303, 3661, 93, 10125f5d-3a76-49c4-9134-280600264122, , duduk, duduk_tasyahud_awal, , 
