190038, 2375, 2583, 2209, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190078, 2298, 2543, 2271, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190119, 2294, 2530, 2248, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190160, 2300, 2638, 2268, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190200, 2284, 2645, 2250, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190241, 2305, 2621, 2204, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190282, 2386, 2604, 2200, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190322, 2357, 2572, 2221, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190363, 2330, 2573, 2236, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190404, 2291, 2628, 2227, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190445, 2263, 2614, 2211, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190483, 2286, 2677, 2196, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190521, 2289, 2676, 2230, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190559, 2276, 2584, 2201, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190597, 2301, 2597, 2239, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190636, 2284, 2659, 2211, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190674, 2288, 2655, 2206, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190712, 2257, 2632, 2215, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190750, 2234, 2678, 2204, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190789, 2219, 2707, 2201, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190827, 2208, 2711, 2220, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190865, 2205, 2743, 2232, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190903, 2244, 2648, 2203, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190942, 2263, 2648, 2222, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
190980, 2256, 2667, 2248, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191019, 2249, 2698, 2212, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191057, 2241, 2683, 2178, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191096, 2237, 2692, 2226, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191135, 2235, 2689, 2195, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191173, 2247, 2719, 2210, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191212, 2244, 2686, 2214, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191250, 2234, 2665, 2202, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191289, 2226, 2758, 2230, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191328, 2214, 2705, 2194, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191366, 2260, 2714, 2178, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191405, 2268, 2706, 2193, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191444, 2227, 2704, 2186, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191481, 2207, 2723, 2204, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191519, 2215, 2704, 2226, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191556, 2183, 2718, 2183, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191594, 2208, 2741, 2193, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191632, 2197, 2705, 2226, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191669, 2206, 2736, 2198, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191707, 2208, 2693, 2219, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191744, 2227, 2707, 2190, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191782, 2218, 2738, 2176, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191820, 2223, 2741, 2175, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191857, 2219, 2723, 2197, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191895, 2227, 2691, 2221, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191933, 2200, 2728, 2203, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
191971, 2188, 2728, 2213, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192009, 2219, 2707, 2214, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192047, 2247, 2721, 2179, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192085, 2226, 2723, 2179, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192123, 2194, 2736, 2210, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192161, 2213, 2719, 2205, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192199, 2217, 2751, 2173, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192237, 2213, 2706, 2213, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192275, 2203, 2751, 2210, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192313, 2207, 2737, 2156, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192351, 2206, 2726, 2182, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192389, 2231, 2714, 2183, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192428, 2204, 2715, 2189, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192470, 2206, 2756, 2214, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192513, 2194, 2739, 2163, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192555, 2220, 2727, 2202, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192598, 2224, 2744, 2175, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192641, 2209, 2748, 2208, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192683, 2215, 2755, 2181, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192726, 2243, 2718, 2162, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192768, 2186, 2760, 2187, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192811, 2162, 2742, 2200, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192854, 2195, 2753, 2200, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192896, 2197, 2736, 2171, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192939, 2217, 2728, 2202, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
192982, 2176, 2730, 2187, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193016, 2214, 2760, 2180, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193051, 2185, 2735, 2183, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193085, 2205, 2751, 2172, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193120, 2223, 2734, 2168, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193154, 2209, 2732, 2195, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193189, 2205, 2751, 2206, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193223, 2172, 2737, 2167, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193258, 2195, 2758, 2192, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193292, 2207, 2721, 2190, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193327, 2235, 2746, 2159, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193361, 2177, 2741, 2174, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193396, 2175, 2751, 2207, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193431, 2188, 2767, 2212, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193469, 2193, 2712, 2185, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193507, 2188, 2729, 2175, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193545, 2199, 2736, 2185, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193583, 2188, 2718, 2169, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193621, 2172, 2741, 2186, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193659, 2222, 2739, 2178, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193698, 2193, 2741, 2169, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193736, 2190, 2731, 2200, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193774, 2197, 2712, 2185, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193812, 2206, 2759, 2197, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193850, 2173, 2746, 2183, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193888, 2206, 2727, 2150, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193927, 2206, 2725, 2199, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
193970, 2207, 2755, 2183, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194013, 2195, 2759, 2211, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194056, 2175, 2763, 2197, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194099, 2222, 2770, 2171, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194142, 2189, 2724, 2194, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194185, 2186, 2740, 2190, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194228, 2180, 2745, 2181, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194271, 2195, 2764, 2196, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194314, 2188, 2774, 2174, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194357, 2207, 2710, 2193, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194400, 2199, 2755, 2196, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194444, 2184, 2751, 2194, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194481, 2202, 2773, 2167, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194519, 2223, 2757, 2158, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
