116606, 1552, 1904, 3237, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116645, 1566, 2076, 3127, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116684, 1351, 2214, 2880, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116723, 1409, 2588, 2951, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116762, 1713, 2485, 2800, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116798, 2050, 2403, 2971, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116835, 2128, 2056, 2832, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116872, 2158, 2264, 2803, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116909, 2357, 2215, 2720, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116946, 2255, 1977, 2729, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
116983, 2207, 2505, 2779, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
117020, 1979, 2385, 2786, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
117057, 1929, 2561, 2847, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
117094, 1926, 2428, 2816, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117131, 1880, 2402, 2815, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117168, 1980, 2515, 2882, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117218, 1978, 3025, 3192, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117269, 2648, 3490, 3294, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117319, 2422, 5077, 2992, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117370, 1842, 5407, 2943, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117421, 1235, 4976, 2606, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117471, 806, 5335, 1985, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117522, 505, 4658, 1779, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117572, -299, 3786, 1580, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117623, -652, 3303, 1294, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117674, -988, 3453, 1171, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117702, -1151, 2799, 935, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117731, -1368, 2728, 1357, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117760, -1406, 2211, 1167, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117789, -1656, 1807, 1212, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117818, -1738, 2119, 932, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117846, -1729, 2303, 796, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117875, -1697, 2685, 813, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117904, -1822, 3085, 649, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117933, -1970, 3457, 254, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117962, -2113, 3675, 134, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
117998, -2103, -872, 1553, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118035, -1641, 1541, 193, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118072, -2790, 3354, 441, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118109, -2769, 4005, 139, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118146, -2659, 3721, -52, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118183, -2523, 3118, -198, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118220, -2036, 3860, -16, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118257, -2285, 3327, -122, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118294, -2447, 3006, -263, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118331, -2579, 2790, -385, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118368, -2637, 3149, -331, 67, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118408, -2450, 3310, -388, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118448, -2429, 3321, -356, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118489, -2461, 3244, -348, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118529, -2524, 3257, -459, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118570, -2668, 3028, -528, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118610, -2754, 3123, -554, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118650, -2560, 3069, -610, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118691, -2730, 3077, -521, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118731, -2505, 3244, -344, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118772, -2404, 3203, -426, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118811, -2270, 3346, -174, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118850, -1827, 3007, 145, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118889, -1411, 2932, 362, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118928, -1301, 2020, 1090, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
118967, -1035, 2454, 1405, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119006, -1028, 1820, 882, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119045, -817, 2736, 943, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119084, -917, 2105, 234, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119123, -725, 3305, 555, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119162, -553, 2631, 74, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119200, -229, 4954, 793, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119238, 555, 4297, 818, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119277, 853, 5957, 1099, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119315, 2687, 4395, 3084, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119354, 2093, 5542, 2556, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119392, 1847, 3676, 2748, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119431, 1900, 2774, 3694, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119469, 2308, 1819, 4430, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119508, 2544, 2909, 4527, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119546, 2196, 2428, 3066, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119585, 2414, 1787, 2769, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119624, 2571, 2005, 2637, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119663, 2599, 1884, 2900, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119702, 2611, 1428, 2778, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119741, 2665, 1930, 2760, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, menggaruk, 
119780, 2506, 1844, 2737, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
119819, 2477, 1891, 2861, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
119858, 2364, 1901, 2960, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
119897, 2433, 1824, 2953, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
119936, 2404, 1776, 2849, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
119975, 2496, 1880, 2809, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120016, 2485, 1735, 2800, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120057, 2488, 1908, 2846, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120098, 2430, 1794, 2822, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120139, 2452, 1810, 2804, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
