161879, 3117, 731, 2758, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
161917, 2989, 695, 2812, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
161954, 3040, 738, 2833, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
161992, 2982, 996, 2753, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162029, 3055, 873, 2713, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162067, 2991, 834, 2753, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162105, 3048, 707, 2763, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162149, 3048, 776, 2748, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162194, 3023, 785, 2721, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162239, 3015, 813, 2751, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162284, 3042, 836, 2746, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162329, 3005, 883, 2780, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162373, 2967, 836, 2762, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162418, 2928, 836, 2774, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162463, 2959, 878, 2776, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162508, 2997, 854, 2788, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162553, 3025, 761, 2693, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162586, 3020, 781, 2778, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162620, 2998, 877, 2787, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162654, 2975, 911, 2714, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162688, 2937, 932, 2749, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162722, 2976, 888, 2757, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162755, 3008, 898, 2774, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162789, 3015, 856, 2756, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162823, 3020, 806, 2736, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162857, 2999, 901, 2766, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162891, 2959, 876, 2793, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162928, 2937, 856, 2687, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
162966, 2997, 877, 2758, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163003, 2987, 925, 2762, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163041, 2969, 904, 2755, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163078, 2961, 870, 2787, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163116, 2856, 874, 2811, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163153, 2855, 1040, 2850, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163191, 2938, 929, 2792, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163228, 3032, 935, 2624, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163266, 3018, 1078, 2708, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163304, 2944, 995, 2788, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163344, 2886, 993, 2813, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163384, 2937, 996, 2768, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163425, 2902, 1059, 2773, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163465, 2951, 1002, 2782, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163506, 2944, 1030, 2797, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163546, 2912, 974, 2764, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163586, 2908, 1010, 2765, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163627, 2921, 1009, 2768, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163667, 2926, 977, 2784, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163708, 2918, 980, 2792, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163745, 2926, 1020, 2803, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163782, 2953, 1000, 2788, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163819, 2919, 958, 2820, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
163856, 2949, 1042, 2805, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
163893, 2963, 918, 2887, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
163931, 2895, 880, 3263, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
163968, 3906, 775, 3253, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164005, 3956, 3291, 2689, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164042, 3284, 6135, 2385, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164079, 3750, 6665, 2426, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164117, 3770, 6568, 2064, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164157, 2684, 5407, 2151, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164197, 1130, 4283, 1632, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164237, 319, 3025, 1078, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164278, -309, 1596, 786, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164318, -876, 248, 482, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164358, -1192, -440, 294, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164399, -2183, -2221, 1050, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164439, -3001, -1563, 1419, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164479, -3199, -1245, 1192, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164520, -3223, -1100, 1343, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164556, -3692, -237, 635, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164593, -3541, -1202, 353, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164630, -3806, 603, 853, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164666, -3761, -942, 1394, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164703, -3715, -1532, 1852, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164740, -3804, -887, 1717, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164776, -4434, -486, 599, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164813, -3896, -474, 303, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164850, -4011, -580, 1048, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164887, -3994, -955, 1450, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164926, -4068, -1036, 1445, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
164965, -3882, -518, -38, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165004, -4100, -187, 1266, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165044, -4246, -923, 1642, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
