275350, 2778, 1823, 2491, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275387, 2764, 1795, 2484, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275423, 2771, 1777, 2525, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275459, 2767, 1777, 2529, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275495, 2787, 1748, 2545, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275532, 2809, 1789, 2543, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275568, 2815, 1783, 2503, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275604, 2777, 1784, 2520, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275641, 2782, 1792, 2478, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275681, 2779, 1840, 2494, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275722, 2760, 1794, 2493, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275763, 2779, 1830, 2499, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275804, 2805, 1827, 2512, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275845, 2761, 1805, 2498, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275886, 2784, 1815, 2490, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275927, 2790, 1810, 2468, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
275968, 2776, 1824, 2501, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276009, 2712, 1830, 2525, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276050, 2762, 1848, 2512, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276088, 2785, 1810, 2463, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276126, 2767, 1833, 2492, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276165, 2783, 1847, 2471, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276203, 2773, 1791, 2505, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276242, 2754, 1842, 2529, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276280, 2738, 1843, 2469, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276318, 2781, 1830, 2491, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276357, 2809, 1851, 2465, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276395, 2788, 1848, 2440, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276434, 2767, 1830, 2478, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276471, 2812, 1838, 2469, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276508, 2779, 1855, 2490, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276545, 2802, 1849, 2467, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276582, 2827, 1833, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276619, 2812, 1833, 2462, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276656, 2806, 1838, 2482, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276693, 2817, 1855, 2410, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276730, 2797, 1846, 2458, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276767, 2769, 1840, 2493, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276804, 2798, 1846, 2420, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276841, 2829, 1789, 2424, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276881, 2824, 1816, 2430, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276922, 2831, 1829, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
276963, 2820, 1833, 2438, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277004, 2794, 1820, 2470, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277045, 2794, 1817, 2452, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277086, 2789, 1841, 2480, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277127, 2802, 1838, 2452, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277168, 2825, 1841, 2446, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277209, 2804, 1862, 2463, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277250, 2769, 1866, 2433, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277285, 2789, 1824, 2444, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277320, 2807, 1847, 2476, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277355, 2773, 1865, 2435, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277390, 2783, 1861, 2462, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277425, 2768, 1875, 2476, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277460, 2767, 1865, 2460, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277495, 2777, 1865, 2474, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277530, 2801, 1872, 2457, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277565, 2785, 1839, 2457, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277600, 2766, 1872, 2476, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277636, 2741, 1881, 2431, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277680, 2774, 1869, 2424, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277725, 2760, 1889, 2450, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277770, 2778, 1866, 2454, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277815, 2796, 1876, 2451, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277860, 2775, 1891, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277905, 2792, 1879, 2448, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277950, 2764, 1878, 2438, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
277995, 2781, 1883, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
