385685, 1169, 2143, 3300, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385722, 1196, 2069, 3318, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385762, 1202, 2119, 3399, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385802, 1098, 2128, 3343, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385842, 1035, 2274, 3313, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385882, 902, 2320, 3279, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385922, 1088, 2273, 3234, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
385962, 1182, 2283, 3192, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386002, 1302, 2355, 3175, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386042, 1305, 2332, 3204, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386082, 1359, 2252, 3248, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386122, 1374, 2290, 3258, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386158, 1287, 2182, 3243, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386194, 1336, 2400, 3169, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386231, 1328, 2390, 3099, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386267, 1313, 2238, 3248, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386303, 1250, 2245, 3272, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386340, 1257, 2257, 3205, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386376, 1265, 2171, 3315, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
386412, 1287, 2162, 3261, 68, 82556cd6-b810-427a-a35d-5ad2a0f7fe36, , duduk, duduk_tasyahud_awal, , 
