94199, 3909, 1320, 48, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94241, 3888, 1371, 117, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94283, 3946, 1405, 84, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94324, 3900, 1446, 132, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94366, 3892, 1711, 157, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94408, 3984, 1473, 449, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94449, 3978, 2317, 489, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94491, 4000, 2960, 1223, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94533, 4534, 3075, 1121, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94575, 4470, 3332, 1745, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94611, 4454, 3894, 1499, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94648, 4387, 3671, 1763, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94684, 3957, 3946, 1817, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94721, 3900, 3820, 2296, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94757, 3197, 3981, 2275, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94794, 2384, 3707, 2483, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94830, 1161, 3359, 2711, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94867, 496, 2697, 2751, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94903, -286, 2103, 2702, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94940, -1090, 1810, 2420, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
94977, -1245, 904, 2152, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95015, -1676, 947, 2097, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95053, -2772, 143, 1533, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95091, -2971, -293, 1235, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95129, -2172, -1490, 860, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95167, -2429, -1738, 234, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95205, -2374, -2499, -164, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
