13687, 3086, 2678, 425, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13727, 3042, 2712, 449, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13768, 3069, 2667, 476, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13808, 3136, 2693, 480, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13849, 3128, 2539, 593, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13890, 3149, 2338, 634, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13930, 3319, 2526, 525, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
13971, 3107, 3089, 357, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14011, 3308, 3624, 1096, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14052, 3161, 3353, 1449, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14093, 3275, 3957, 2258, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14128, 3106, 3483, 2990, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14164, 3812, 4956, 3225, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14199, 3714, 5098, 2826, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14235, 3678, 5120, 3196, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14271, 3728, 5430, 2574, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14306, 2832, 4455, 2478, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14342, 1862, 4038, 2357, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14378, 1089, 3333, 1771, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14413, 355, 1638, 2248, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14449, -266, 1368, 2000, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14485, -1277, 444, 478, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14525, -1226, 441, 955, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14566, -2258, -515, 58, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14607, -2314, -929, -31, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14647, -2550, -1676, 361, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14688, -2918, -1960, -14, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14729, -3120, -2055, 74, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14769, -3288, -2633, 298, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14810, -3311, -2413, 57, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14851, -3380, -2287, 244, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14892, -3626, -1943, 617, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14931, -3635, -1551, 960, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
14970, -3734, -1143, 1009, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15009, -3914, -502, 1078, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15048, -4060, -328, 1143, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15087, -4169, -501, 1266, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15127, -4104, -630, 1239, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15166, -4034, -789, 1130, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15205, -3950, -943, 1125, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15244, -3842, -1057, 979, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15283, -3832, -928, 857, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15323, -3788, -791, 776, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15359, -3710, -816, 681, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15396, -3725, -1226, 276, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15432, -3378, -1256, 53, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15469, -2965, -1046, -236, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15506, -2692, -907, -674, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15542, -2129, -459, -245, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15579, -1252, 38, 510, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15615, 209, 702, 1910, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15652, 1201, 2575, 2849, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15689, 3303, 4171, 4772, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15728, 3138, 3351, 5485, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15768, 3338, 2626, 5348, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15808, 3483, 3009, 5284, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15848, 3440, 2651, 4884, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15888, 3124, 2066, 4479, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15928, 2472, 1757, 4297, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
15968, 2253, 1636, 3965, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16008, 2160, 1519, 3715, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16048, 2180, 1393, 3772, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16088, 2134, 1397, 3636, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16125, 2062, 1649, 3478, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16163, 2031, 1668, 3475, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16200, 1886, 1549, 3364, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16238, 1805, 1601, 3483, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16276, 1542, 1404, 3425, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16313, 1462, 1346, 3440, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16351, 1376, 1451, 3581, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16389, 1281, 1327, 3541, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16426, 1415, 1456, 3650, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16464, 1164, 1303, 3677, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16502, 1211, 1648, 3912, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16546, 1172, 1636, 3958, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16590, 1053, 1479, 3807, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16634, 761, 1469, 3697, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16678, 573, 1659, 3225, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16722, 697, 2053, 2519, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16766, 425, 2571, 2401, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16810, 353, 3027, 1607, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16854, 93, 3163, 1350, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16898, 131, 3596, 1340, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16942, 116, 3910, 1529, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
16976, 262, 3691, 1347, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17011, -12, 4073, 1046, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17045, 350, 3934, 910, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17080, 166, 4121, 458, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17114, 365, 4470, 96, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17149, 428, 4566, -61, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17183, 403, 4470, -124, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17218, 357, 4212, -19, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
17252, 372, 3911, 2, , ec069e33-df63-47c9-9abd-7cb71a2ed9a4, , takbir, takbiratulihram, , 
