50319, 4146, 366, -565, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50359, 4089, 337, -555, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50399, 4030, 245, -480, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50439, 4122, 190, -504, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50479, 4086, 289, -602, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50519, 4083, 233, -557, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50559, 4080, 352, -576, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50599, 4086, 408, -539, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50638, 4081, 580, -631, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50678, 3972, 945, -591, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50718, 4074, 1141, -527, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50758, 3827, 1926, -778, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50798, 4118, 2545, -884, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50837, 4275, 2904, -158, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50877, 4675, 3543, 68, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50917, 5284, 3471, 156, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50957, 5540, 4031, 146, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
50997, 5621, 4795, -344, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51035, 5613, 4568, 591, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51073, 4775, 4845, 602, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51111, 4042, 4419, 1531, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51149, 2846, 4067, 1297, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51187, 1898, 3528, 1573, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51225, 608, 2643, 1774, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51263, -435, 1810, 1449, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51301, -1017, 961, 1370, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51339, -1555, 337, 1026, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51377, -1815, -602, 787, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51415, -2115, -1053, 636, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51452, -2048, -1857, 320, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51489, -2180, -2553, -22, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51527, -2338, -2554, 50, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51564, -2432, -3190, -202, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51602, -2604, -3335, -113, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51639, -2728, -3269, -106, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
