60336, 4077, 445, -549, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60371, 4081, 421, -559, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60406, 3962, 482, -600, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60441, 3975, 1013, -738, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60476, 4101, 1091, -685, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60511, 3957, 1543, -722, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60546, 4032, 2401, -1083, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60581, 4161, 2063, -393, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60623, 5305, 3256, -73, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60665, 5303, 3833, 90, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60707, 5695, 4427, -126, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60749, 5990, 4782, 332, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60791, 5343, 4905, 978, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60833, 4776, 4598, 1345, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60875, 3129, 3726, 1526, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60917, 2259, 3211, 1657, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
60959, 972, 2004, 1306, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61001, 129, 1840, 1739, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61035, -929, 915, 1666, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61070, -1478, -481, 1073, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61104, -2104, 110, 1463, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61139, -2129, -2594, -450, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61173, -2300, -3761, -1527, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61208, -2475, -2251, -386, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61242, -2625, -1866, -426, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61277, -2634, -1365, -338, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61311, -2783, -711, 681, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61346, -2747, -831, 590, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61381, -2611, 132, 1029, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61426, -2543, 557, 1962, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61471, -2364, 1132, 2250, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61516, -2262, 2893, 3619, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61561, -1968, 2209, 2779, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61606, -2169, 3944, 3535, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61651, -1835, 1885, 3420, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61696, -817, 4477, 2471, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61741, -2174, 4901, 3260, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61786, -959, 2754, 2631, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61831, -2007, 6166, 1528, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61868, -1375, 3422, 1789, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61906, -1378, 4198, 412, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61944, -1314, 4087, -111, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
61982, -1135, 3980, -496, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62020, -972, 4159, -603, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62058, -1028, 3942, -477, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62096, -908, 3704, -821, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62134, -586, 3365, -968, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62172, -985, 3800, -930, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62210, -854, 3972, -1334, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62243, -1065, 3282, -1304, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62276, -674, 3919, -1118, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62309, -885, 3727, -1260, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62342, -885, 3531, -1480, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62375, -866, 3719, -1460, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62409, -995, 3747, -1443, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62442, -1099, 3573, -1781, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62475, -1121, 3598, -1875, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62508, -1183, 3326, -1809, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62541, -1026, 3458, -1950, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62575, -1055, 3378, -1922, 88, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62618, -1040, 3543, -2049, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62661, -1076, 3379, -2155, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62704, -1006, 3276, -2048, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
62747, -934, 3510, -2300, 86, 755ee0a1-9267-4ef9-953e-21ec961a071e, , takbir, takbiratulihram, , 
