56392, 4262, 468, 110, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56425, 4073, 728, 155, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56468, 3907, 771, 510, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56512, 4416, 546, 784, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56556, 4437, 461, 773, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56600, 4859, 1161, 1073, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56644, 5015, 1347, 995, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56688, 5280, 1477, 980, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56732, 5497, 1831, 912, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56776, 5816, 2375, 1071, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56820, 5883, 2176, 1465, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56864, 5885, 2519, 1849, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56900, 5049, 2222, 2746, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56936, 4288, 2325, 2726, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
56973, 2979, 2357, 2774, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57009, 1929, 1572, 2695, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57046, 781, 1345, 2561, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57082, -110, 844, 2136, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57118, -870, 520, 2104, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57155, -1465, 488, 2062, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57191, -2373, 256, 1725, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57228, -2547, 340, 1928, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57266, -2909, -227, 1443, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57305, -3069, -225, 1331, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57343, -3348, -486, 1339, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57382, -3382, -681, 1271, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57421, -3605, -1192, 780, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57459, -3724, -1326, 804, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57498, -3713, -1411, 915, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57537, -3458, -1615, 621, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57575, -3576, -1527, 618, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57614, -3501, -1556, 698, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57653, -3414, -1474, 609, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57688, -3513, -1567, 705, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57724, -3508, -1610, 673, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57760, -3566, -1699, 643, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57795, -3654, -1762, 729, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57831, -3566, -1678, 585, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57867, -3470, -1690, 542, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57902, -3586, -1660, 740, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57938, -3646, -1647, 657, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
57974, -3711, -1639, 696, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58010, -3867, -1641, 726, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58052, -3761, -1613, 746, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58094, -3768, -1688, 762, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58136, -3696, -1705, 639, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58179, -3634, -1729, 639, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58221, -3680, -1669, 680, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58263, -3538, -1698, 507, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58305, -3620, -1614, 643, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58348, -3679, -1625, 802, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58390, -3727, -1622, 667, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58432, -3740, -1698, 680, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58475, -3713, -1704, 703, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58509, -3669, -1703, 547, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58543, -3682, -1683, 567, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58578, -3676, -1664, 651, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58612, -3698, -1606, 678, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58647, -3689, -1647, 724, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58681, -3778, -1613, 710, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58715, -3719, -1679, 670, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58750, -3685, -1620, 705, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58784, -3656, -1643, 760, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58819, -3664, -1651, 648, 90, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58859, -3705, -1642, 657, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58900, -3707, -1600, 678, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58940, -3685, -1564, 638, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
58981, -3695, -1556, 734, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59022, -3731, -1537, 714, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59062, -3724, -1558, 707, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59103, -3742, -1567, 790, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59143, -3758, -1504, 723, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59184, -3714, -1462, 752, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59225, -3723, -1403, 800, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59261, -3747, -1416, 836, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59297, -3804, -1427, 891, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59333, -3796, -1416, 809, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59369, -3753, -1393, 890, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59405, -3765, -1332, 886, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
