76723, 4088, 623, -386, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
76763, 4058, 629, -374, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
76804, 4103, 622, -380, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
76844, 4082, 630, -301, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
76884, 4075, 657, -334, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
76924, 4034, 812, -371, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
76964, 3986, 1095, -422, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77005, 4064, 1165, -399, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77043, 4009, 1509, -452, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77081, 3928, 1718, -460, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77120, 4280, 1821, -559, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77158, 4131, 2925, -293, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77197, 4850, 3351, -599, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77235, 4637, 3061, -140, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77273, 5113, 3782, -730, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77312, 4738, 4063, -21, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77350, 4327, 4291, 253, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77389, 3957, 4789, 332, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77423, 3081, 4755, 764, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77458, 2168, 4252, 1088, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77493, 1147, 4204, 1084, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77527, 132, 3140, 1311, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77562, -535, 2936, 1356, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77597, -1212, 1464, 1245, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77632, -2011, 747, 1134, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77666, -2203, 49, 1032, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77701, -2562, -451, 833, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77736, -2728, -862, 802, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77771, -2706, -1749, 756, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77813, -2892, -1274, 900, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77855, -2820, -2352, 553, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77897, -2880, -2378, 373, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77939, -2792, -2392, 471, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
77981, -2913, -2670, 335, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78023, -2879, -2700, 454, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78065, -3020, -2746, 280, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78107, -2988, -2759, 186, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78149, -3007, -2615, 309, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78191, -2985, -2719, 307, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78231, -3035, -2560, 312, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78271, -3005, -2610, 324, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78311, -3145, -2449, 367, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78351, -3130, -2519, 400, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78392, -3193, -2339, 275, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78432, -3114, -2477, 396, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78472, -3188, -2275, 389, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78512, -3145, -2415, 401, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78552, -3295, -2113, 381, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78593, -3244, -1920, 353, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78634, -3436, -1686, 439, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78676, -3645, -1397, 586, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78718, -3491, -1154, 610, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78759, -3819, -985, 826, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78801, -3567, -551, 926, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78843, -3814, -421, 1062, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78885, -3604, -103, 1376, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78926, -3422, 124, 1409, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
78968, -3483, 691, 1699, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79010, -3079, 646, 1741, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79052, -3277, 1325, 1852, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79084, -3260, 1788, 1984, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79117, -2782, 1984, 2243, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79150, -2889, 2335, 2216, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79183, -2677, 2462, 2281, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79216, -2392, 2600, 2465, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79249, -2185, 2741, 3005, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79282, -2227, 3026, 2735, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
