15433, 3938, 1347, 53, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15474, 3882, 1380, 60, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15515, 3904, 1395, 48, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15557, 3905, 1405, 35, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15598, 3876, 1467, 41, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15639, 3940, 1506, 194, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15681, 3881, 1711, 406, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15722, 4114, 2402, 537, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15763, 4394, 3041, 505, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15805, 4733, 3606, 121, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15841, 4449, 3390, 129, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15877, 3950, 3544, 195, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15913, 3558, 3534, 555, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15949, 3075, 4168, 606, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
15985, 2529, 4277, 906, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16021, 1748, 4239, 1137, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16057, 1392, 3973, 1108, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16093, 575, 4309, 1575, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
