3407, 3762, 1850, -319, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3446, 4046, 1869, 113, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3485, 3997, 2298, 257, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3524, 4279, 2864, 364, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3563, 4396, 3455, 638, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3602, 4411, 4136, 400, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3641, 4909, 4358, 678, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3680, 4541, 3949, 972, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3719, 4501, 4586, 1200, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3758, 4497, 4108, 1773, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3797, 3489, 4169, 1912, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3836, 3079, 3745, 2348, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3876, 1910, 3125, 1992, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3916, 815, 2758, 2437, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3956, -86, 1452, 2041, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
3996, -990, 996, 2048, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4035, -1759, -117, 1595, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4075, -1949, -325, 1437, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4115, -2496, -323, 1336, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4155, -2617, -1215, 1283, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4195, -3215, -1393, 743, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4235, -3001, -1912, 667, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4276, -3058, -1857, 484, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4318, -2817, -1840, 502, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4359, -2690, -920, 406, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4401, -2094, -2189, -74, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4443, -2240, -3104, -1705, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4484, -1774, -4715, -2340, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4526, -2396, -3368, -1107, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4567, -2821, -2472, -737, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4609, -3167, -2050, 53, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4651, -3190, -2857, -186, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4685, -3233, -3117, -145, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4720, -3160, -2945, -212, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4755, -3151, -2706, -390, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4789, -3104, -2479, -178, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4824, -3162, -2447, -107, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4859, -3211, -2436, -19, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4893, -3235, -2543, -37, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4928, -3214, -2622, -66, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4963, -3211, -2544, -35, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
4998, -3114, -2450, -64, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5034, -3098, -2440, -170, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5071, -3091, -2539, -226, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5107, -3074, -2651, -286, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5144, -3045, -2529, -259, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5181, -3011, -2352, -192, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5217, -3337, -2125, -41, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5254, -3180, -1832, 283, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5291, -3525, -1672, 463, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5327, -3359, -1348, 754, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5364, -3335, -1079, 943, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5401, -3212, -969, 1324, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5441, -3183, -500, 1582, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5482, -2937, -361, 1771, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5522, -2830, 163, 2444, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5563, -2670, 299, 2322, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5603, -2391, 1023, 3423, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5644, -2234, 1031, 3597, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5684, -1962, 1443, 3972, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5725, -1931, 1911, 4014, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
