39689, 3398, 2965, 463, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39727, 3032, 3166, 1044, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39765, 3079, 3407, 706, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39802, 3076, 3945, 765, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39840, 2799, 4540, 1154, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39878, 2605, 4563, 906, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39916, 2224, 4478, 816, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39956, 2039, 4718, 717, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
39997, 1971, 4361, 745, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40038, 1246, 4475, 1034, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40079, 745, 4357, 1043, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40119, 165, 3773, 1380, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40160, -321, 3783, 1359, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40201, -1113, 3298, 1495, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40242, -1453, 3334, 1444, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40282, -2076, 2598, 1602, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40323, -2492, 1992, 1612, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40364, -2801, 1590, 1444, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40405, -3103, 814, 1497, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40446, -3021, 129, 1453, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40484, -3190, -504, 1164, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40523, -2962, -918, 1260, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40562, -3139, -1450, 1030, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40600, -2885, -1709, 929, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40639, -2958, -1770, 1022, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40678, -3043, -1688, 1042, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40716, -3250, -1890, 805, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40755, -3038, -2085, 774, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40794, -2978, -2559, 693, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40832, -2980, -2581, 542, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40871, -2923, -2706, 591, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40910, -2892, -2701, 519, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40949, -2820, -2623, 473, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
40993, -2975, -2466, 552, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41038, -3102, -2531, 551, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41082, -3062, -2563, 679, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41127, -3130, -2512, 688, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41171, -3178, -2482, 655, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41216, -3180, -2492, 685, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41260, -3134, -2450, 624, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41305, -3138, -2406, 568, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41349, -3161, -2366, 672, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41394, -3264, -2335, 673, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41438, -3335, -2435, 703, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41483, -3388, -2343, 751, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41528, -3388, -2241, 747, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41560, -3411, -2255, 691, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41592, -3357, -2197, 649, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41624, -3391, -2160, 624, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41656, -3369, -2188, 681, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41689, -3368, -2132, 690, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41721, -3391, -2089, 693, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41753, -3298, -2030, 676, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41785, -3399, -1987, 709, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41818, -3326, -1963, 710, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41850, -3431, -1781, 672, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
