22224, 4055, -340, -483, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22268, 4120, 1457, -855, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22299, 4215, 1358, -924, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22330, 4168, 314, -31, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22362, 4699, 969, -539, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22393, 5275, 1310, -304, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22425, 5828, 1528, -18, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22456, 6380, 1476, -118, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22488, 7043, 2013, -483, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22519, 6787, 2048, 77, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22551, 6220, 1751, 1384, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22582, 4981, 2232, 1720, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22614, 3606, 2075, 1790, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22656, 2203, 1628, 1993, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22698, 938, 1319, 1699, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22740, 356, 1142, 1986, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22782, -666, 583, 1685, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22824, -1221, 918, 2187, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22866, -1742, 424, 1787, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22908, -2183, 783, 2143, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22950, -2336, 1137, 2353, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
22992, -2616, 521, 2186, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23034, -2869, 860, 2030, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23074, -2822, 687, 2040, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23115, -2632, 977, 2291, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23156, -2765, 1324, 2536, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23197, -2720, 1804, 2809, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23238, -2986, 1826, 2598, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23279, -3055, 1737, 2376, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23320, -3140, 1463, 2101, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23361, -3018, 1401, 2131, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23402, -3039, 1496, 2113, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23443, -2916, 1806, 2415, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23484, -2754, 2060, 2481, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23518, -2692, 2096, 2598, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23553, -2603, 1927, 2451, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23588, -2497, 1990, 2552, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23622, -2541, 1915, 2465, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23657, -2444, 1941, 2420, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23692, -2356, 1876, 2597, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23726, -2257, 2004, 2497, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23761, -2128, 2117, 2898, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23796, -2185, 2034, 2957, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23831, -2112, 2033, 2846, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23879, -2083, 1959, 3051, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23927, -2154, 1869, 2906, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
