66704, 4093, 477, -436, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66741, 4082, 501, -451, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66778, 4064, 524, -505, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66815, 4057, 706, -554, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66852, 4081, 733, -361, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66889, 4022, 1173, -631, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66926, 3816, 1718, -826, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
66963, 3863, 1991, -894, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67000, 3898, 2468, -789, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67038, 4461, 1884, -74, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67076, 4460, 3127, -433, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67114, 4898, 2630, -143, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67152, 5277, 2805, 49, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67190, 5307, 3381, 167, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67228, 5376, 3270, 662, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67266, 4250, 2813, 1436, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67304, 3729, 3609, 1528, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67342, 2937, 2781, 2157, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67381, 2068, 2916, 2450, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67417, 1074, 2714, 2623, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67453, 199, 1546, 2607, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67490, -535, 1603, 2738, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67526, -1269, 668, 2133, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67563, -1707, 550, 2562, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67599, -2228, -11, 1963, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67636, -2551, 17, 1959, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67672, -2910, -328, 2244, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67709, -3031, -545, 1779, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67745, -3148, -246, 2132, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67782, -2973, -954, 1861, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67823, -3275, -839, 1558, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67865, -3263, -1280, 1696, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67907, -3328, -1364, 1527, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67949, -3269, -2263, 1111, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
67991, -3513, -1890, 1014, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68033, -3418, -1680, 964, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68075, -3322, -1637, 910, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68117, -3316, -1697, 978, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68159, -3302, -1896, 898, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68201, -3315, -1844, 1214, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68235, -3348, -1938, 1003, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68270, -3396, -1908, 1065, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68304, -3442, -1802, 1122, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68339, -3424, -1891, 1080, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68374, -3437, -1930, 1162, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68408, -3440, -2013, 1132, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68443, -3374, -1952, 1072, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68478, -3405, -1896, 1030, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68512, -3452, -1814, 1051, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68547, -3442, -1834, 1079, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68582, -3428, -1874, 1112, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68623, -3475, -1832, 1095, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68665, -3437, -1814, 1096, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68707, -3460, -1698, 1155, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68748, -3415, -1665, 1159, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68790, -3441, -1508, 1162, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68832, -3456, -1604, 1249, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68873, -3610, -1544, 1477, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68915, -3498, -1379, 1507, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68957, -3439, -1259, 1752, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
68999, -3383, -1296, 1730, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69042, -3344, -793, 1979, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69085, -3277, -870, 1782, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69128, -3161, -558, 1980, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69171, -3155, -399, 2250, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69215, -2990, -454, 2321, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69258, -2877, -68, 2781, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69301, -2732, -227, 2796, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69344, -2587, 291, 3098, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69387, -2395, 274, 3114, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69431, -2184, 881, 3419, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69462, -1949, 661, 3561, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69494, -1703, 1319, 3489, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69526, -1414, 921, 3800, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69557, -1376, 2075, 3613, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69589, -963, 1197, 3910, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69621, -874, 2554, 3880, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69653, -981, 2195, 3699, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69684, -440, 2207, 4095, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69716, -757, 2849, 3482, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69748, -382, 2787, 3448, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69780, -443, 3263, 2779, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69822, -479, 3521, 2250, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69864, -762, 3867, 2097, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69906, -771, 3609, 1928, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69948, -766, 3930, 1554, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
69991, -817, 3882, 1617, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70033, -755, 3914, 1336, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70075, -796, 3940, 1023, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70117, -851, 3723, 1065, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70159, -866, 4052, 716, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70202, -932, 3971, 623, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70238, -948, 3991, 473, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70274, -984, 3970, 448, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70310, -957, 3809, 467, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70347, -988, 4077, 254, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70383, -977, 3980, 170, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70419, -940, 3863, 62, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70455, -1068, 4186, -191, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70492, -1022, 3974, -94, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70528, -1018, 3891, -229, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70564, -1093, 4095, -427, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
