22924, 3829, 469, -656, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
22962, 3738, 597, -643, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23003, 3669, 630, -606, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23044, 3858, 722, -449, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23085, 3669, 617, -696, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23127, 3665, -4, -330, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23168, 5076, -1252, 2468, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23209, 4411, 631, 1021, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23250, 3844, 1313, -324, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23292, 3732, 1369, -431, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23333, 3926, 1440, -229, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23374, 3865, 1581, -143, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23416, 3945, 1841, -93, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23450, 4018, 1369, -18, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23485, 3864, 1689, -152, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23519, 3869, 1477, 557, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23554, 4031, 1776, 302, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23588, 4353, 2476, 704, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23623, 4398, 2543, 1197, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23657, 4529, 1824, 1895, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23692, 4978, 2621, 2047, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23726, 5077, 2781, 2149, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23761, 5300, 3276, 1991, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23801, 5374, 3225, 2141, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23842, 4841, 3106, 2528, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23883, 4987, 3356, 2305, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23923, 3982, 3273, 2442, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
23964, 2833, 2465, 2837, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24005, 1383, 2103, 2127, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24045, 561, 1610, 2022, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24086, -676, 887, 2111, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24127, -1535, 409, 1348, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24168, -2114, -129, 1184, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24204, -2551, -892, 1052, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24241, -2913, -1341, 422, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24278, -3226, -1650, 915, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24314, -3202, -1828, 569, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24351, -3040, -1783, 270, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24388, -2986, -2172, 462, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24425, -2814, -2563, 322, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24461, -3039, -2328, 593, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24498, -2874, -2434, 394, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24535, -2909, -2129, 354, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24572, -2882, -2290, 515, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24610, -2861, -2475, 386, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24649, -2700, -2600, 212, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24687, -2486, -2557, -90, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24726, -2339, -2522, -476, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24765, -2189, -1923, -836, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
