32730, 4105, 398, -93, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
32770, 4145, 485, -88, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
32811, 4112, 579, -72, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
32851, 4022, 737, -78, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
32891, 3994, 1206, -115, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
32932, 3920, 1617, 235, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
32973, 4227, 2510, 42, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33014, 4529, 2732, 473, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33055, 4749, 2339, 813, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33096, 5359, 3775, 671, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33137, 5194, 3477, 1033, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33178, 5123, 4531, 946, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33219, 4987, 4275, 1426, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33260, 4943, 4606, 1510, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33301, 4088, 4150, 2154, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33342, 3134, 4024, 2180, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33376, 1827, 3737, 2276, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33411, 250, 2059, 2330, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33446, -385, 1585, 2039, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33481, -1390, 989, 2335, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33516, -1657, 38, 1784, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33551, -1762, -315, 1057, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33586, -1417, -1414, 838, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33621, -1530, -1636, 506, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33656, -1151, -2479, -427, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33691, -2534, -2935, -1293, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33726, -1245, -3231, -592, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33768, -1606, -3606, -1185, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33810, -2147, -3399, -884, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33852, -2132, -3605, -792, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33894, -2206, -3506, -567, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33936, -2382, -3314, -473, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
33978, -2567, -3159, -423, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34020, -2750, -3142, -325, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34062, -2776, -3051, -220, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34104, -2663, -3052, -242, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34147, -2645, -2874, -215, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34182, -2651, -2717, -158, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34218, -2686, -2650, -113, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34254, -2979, -2501, -89, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34290, -3074, -2566, 46, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34326, -3316, -2347, 176, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34361, -3354, -2446, 274, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
