22300, 4106, 323, -445, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22334, 4125, 239, -447, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22368, 4109, 282, -415, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22402, 4066, 443, -445, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22436, 4065, 618, -476, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22470, 4080, 687, -457, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22504, 4078, 679, -489, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22538, 4101, 581, -435, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22572, 4065, 434, -362, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22607, 4045, 484, -422, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22652, 4047, 596, -486, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22697, 4025, 788, -530, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22742, 4018, 1041, -531, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22787, 3958, 873, -515, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22832, 3902, 1368, -693, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22877, 3912, 1407, -333, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22922, 3997, 1612, -649, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
22967, 3945, 2081, -386, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23012, 4522, 1876, -16, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23057, 4664, 1775, -98, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23094, 5290, 2619, -124, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23131, 5485, 2737, -1, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23169, 5219, 2590, 630, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23206, 4513, 2828, 1498, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23244, 4006, 2820, 2007, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23281, 3026, 2786, 2630, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23318, 2031, 2271, 2726, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23356, 943, 1808, 2518, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23393, 201, 1662, 2672, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23431, -54, 728, 2469, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23465, -722, 863, 2849, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23499, -1189, 731, 2959, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23533, -1668, 634, 3000, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23567, -2088, 798, 3123, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23601, -2549, 1018, 2962, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23636, -2373, 235, 2601, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23670, -2616, 139, 2272, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23704, -2601, -118, 1950, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23738, -2772, 16, 1841, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23772, -2868, 407, 2186, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23807, -3082, 676, 2470, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23847, -3236, 662, 2373, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23887, -2986, 515, 2464, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23927, -3102, 412, 2557, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
23967, -3093, 418, 2733, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24007, -3175, 570, 2740, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24047, -3198, 559, 2553, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24087, -3134, 544, 2585, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24127, -3132, 599, 2613, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24167, -3125, 586, 2455, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24207, -3129, 713, 2530, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24243, -3086, 739, 2621, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24279, -3093, 563, 2591, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24315, -3019, 527, 2663, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24351, -3136, 627, 2582, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24387, -3128, 688, 2775, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24423, -3076, 598, 2514, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24459, -3073, 725, 2660, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24495, -3103, 645, 2531, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24531, -3111, 679, 2641, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24567, -3059, 747, 2648, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24604, -3087, 676, 2585, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24648, -3102, 638, 2569, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24693, -3054, 718, 2567, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24738, -3060, 642, 2505, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24782, -3019, 629, 2457, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24827, -2979, 521, 2288, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24872, -2874, 379, 2134, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24916, -2787, 75, 1899, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
24961, -2592, 432, 2380, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25006, -2722, 1308, 2441, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25051, -2611, 1744, 2638, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25087, -2684, 2359, 3146, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25123, -2179, 1638, 2666, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25159, -2025, 4321, 1853, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25196, -923, 1503, 2097, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25232, -1383, 7195, 1311, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25268, -774, 2267, 1104, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25305, -665, 6855, -55, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25341, -1206, 3895, 888, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25377, -841, 4357, -434, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25414, -1039, 4467, 145, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25449, -1181, 4041, -433, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25484, -1026, 4036, -779, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25520, -1133, 3730, -461, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25555, -1181, 3680, -915, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25591, -1205, 3510, -799, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25626, -1217, 3475, -918, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25662, -1058, 3055, -693, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25697, -1234, 3599, -1113, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25733, -1694, 3901, -1333, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25768, -1198, 3528, -1191, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25804, -1303, 3710, -1429, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25847, -1292, 3477, -1346, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25890, -1234, 3589, -1329, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25933, -1319, 3589, -1496, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
25977, -1361, 3485, -1455, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
26020, -1326, 3531, -1495, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
26063, -1342, 3432, -1530, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
26107, -1444, 3219, -1710, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
26150, -1445, 3523, -1755, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
26193, -1392, 3382, -1861, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
26237, -1379, 3660, -1964, , ec544d3a-7616-4de1-b9c2-ab1d8951c9fa, , takbir, takbiratulihram, , 
