8833, 2727, 3213, -436, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
8868, 2911, 3423, 93, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
8903, 3521, 4247, 39, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
8946, 3864, 4533, 149, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
8990, 4113, 4660, 511, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9034, 3860, 4928, 644, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9078, 3326, 4834, 761, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9122, 3238, 5087, 1099, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9165, 2371, 4447, 1333, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9209, 1534, 4147, 1542, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9253, 650, 3241, 1528, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9297, -234, 2887, 1687, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9341, -1018, 1928, 1657, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9370, -1526, 1178, 1453, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9400, -2235, 566, 1395, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9430, -2614, -33, 976, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9460, -2916, -436, 1139, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9490, -2729, -1274, 849, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9519, -3156, -1414, 817, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
