27091, 3435, 1859, -1389, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27131, 3431, 1783, -1311, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27171, 3376, 1796, -1293, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27211, 3341, 1880, -1323, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27249, 3335, 1937, -1400, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27287, 3371, 1932, -1405, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27325, 3383, 1887, -1375, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27364, 3433, 1833, -1353, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27402, 3430, 1830, -1361, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27440, 3404, 1878, -1374, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27479, 3389, 1888, -1427, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27517, 3416, 1891, -1438, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27555, 3455, 1961, -1418, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27594, 3508, 2064, -1499, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27632, 3684, 2232, -1403, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27670, 3482, 2788, -1613, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27708, 3973, 2891, -1547, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27746, 4036, 3550, -1247, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
