128715, 4057, 409, -392, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128748, 4096, 301, -415, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128782, 4142, 251, -487, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128815, 4062, 333, -536, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128848, 4062, 479, -448, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128881, 4049, 633, -435, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128915, 4045, 1126, -613, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128948, 4082, 1253, -621, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
128981, 4021, 1749, -886, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129015, 4281, 1950, -834, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129050, 4564, 2243, -163, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129086, 5180, 2438, 206, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129122, 5936, 2735, 410, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129157, 5987, 4316, 425, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129193, 5367, 3758, 1255, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129229, 4834, 3772, 2072, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129264, 3837, 3694, 2836, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129300, 2808, 3656, 3096, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129336, 1583, 2752, 3207, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129372, 340, 1779, 2859, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129409, -362, 1159, 2573, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129446, -1063, 623, 2827, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129483, -1539, 94, 1808, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129521, -1767, 45, 1686, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129558, -1766, -658, 889, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129595, -1401, -753, 108, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129632, -897, -1251, 451, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129670, -929, -2612, -1132, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129707, -1166, -3134, -1563, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129744, -1291, -3770, -1216, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129782, -1615, -3786, -1100, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129825, -1968, -3414, -998, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129869, -2523, -2701, -747, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129912, -2296, -2567, -405, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129956, -2731, -1779, -238, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
129999, -2659, -1262, -24, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130043, -2524, -540, 397, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130086, -2324, 270, 1350, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130130, -2323, 1093, 2638, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130173, -2367, 958, 2783, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130217, -1892, 3353, 3594, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
