15319, 4217, 470, -35, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15355, 4227, 0, -39, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15391, 4133, 409, -129, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15427, 3941, 781, -108, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15463, 3932, 1420, 5, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15499, 4072, 1818, -139, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15535, 4227, 2339, -1025, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15571, 4100, 1534, 317, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15607, 4798, 1253, 1574, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15643, 5055, 2045, 1803, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15686, 5431, 3187, 1062, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15729, 5712, 3570, 511, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15772, 5353, 3634, 230, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15815, 4861, 4485, 1000, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15858, 4291, 4423, 1146, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15901, 3265, 4357, 1300, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15944, 2022, 3852, 1337, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
15987, 1079, 3261, 1328, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16030, -129, 2444, 1227, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16074, -755, 1893, 1180, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16111, -1546, 1297, 1244, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16148, -2114, 917, 1188, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16185, -2514, -165, 1085, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16223, -3029, -165, 971, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16260, -3118, -970, 922, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16297, -3235, -1194, 809, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
