21257, 3788, 1609, -131, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21297, 3822, 1335, -12, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21337, 3688, 1679, -20, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21377, 3677, 1564, -167, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21417, 3828, 1689, -97, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21457, 3891, 1671, -220, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21497, 3830, 1485, -701, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21537, 3635, 1629, -1032, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21577, 3676, 1975, -1051, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21617, 3668, 2213, -821, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21657, 4056, 934, 138, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21698, 4050, 963, 183, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21731, 3987, 1060, -165, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21765, 3940, 1299, -414, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21799, 3846, 1456, -514, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21832, 3867, 1260, -325, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21866, 3770, 1508, -322, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21900, 3655, 2021, -418, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21933, 3742, 1976, -116, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
21967, 4049, 2087, 394, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22001, 4209, 2094, 108, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22035, 4510, 3579, -164, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22069, 4361, 3337, -215, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22104, 4773, 4307, -476, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22139, 4570, 4048, -150, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22174, 4054, 4443, -22, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22209, 3462, 4788, 40, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22244, 2882, 4703, 354, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22279, 1713, 4761, 705, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22314, 699, 4261, 794, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22349, -361, 3270, 1347, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22384, -1319, 2767, 1408, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22419, -1952, 1783, 1207, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22462, -2693, 1319, 1510, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22505, -2632, 412, 1025, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22548, -2802, -58, 1230, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22591, -2319, -356, 820, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22634, -1696, -1593, 375, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22677, -1407, -1743, 519, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22720, -1462, -2538, 373, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22763, -1291, -3301, 75, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22806, -1693, -3194, 352, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22849, -1995, -3005, 620, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22892, -2619, -3055, 510, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22935, -2856, -2551, 604, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
22978, -3056, -2301, 583, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23021, -3457, -2076, 692, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23064, -3157, -1952, 883, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23107, -3412, -1613, 780, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23150, -3319, -1200, 704, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23193, -3461, -865, 730, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23236, -3548, -350, 685, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23280, -3519, 1, 1135, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23310, -3664, 473, 1425, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23341, -3394, 582, 1549, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23372, -3762, 1248, 1552, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23403, -3235, 1691, 1522, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23434, -3068, 2161, 1607, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23464, -3169, 2424, 1580, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
