14991, 3790, 1588, 341, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15032, 3759, 1682, 310, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15073, 3778, 1635, 372, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15114, 3748, 1641, 360, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15155, 3769, 1620, 408, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15196, 3746, 1620, 417, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15231, 3717, 1626, 451, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15266, 3750, 1647, 421, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15301, 3786, 1645, 384, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15336, 3780, 1701, 486, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15371, 3787, 1517, 716, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15407, 3961, 2204, 622, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15442, 4343, 2468, 1027, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15477, 4692, 2487, 1259, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15512, 4466, 2752, 1408, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15547, 4447, 2944, 1613, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15583, 4182, 3638, 1297, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15628, 3888, 4112, 1647, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15673, 3295, 4217, 1861, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15719, 2717, 4369, 1802, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15764, 1930, 4017, 1950, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15810, 1090, 3711, 1866, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15855, 179, 3215, 2064, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15900, -399, 2764, 2197, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15946, -948, 2596, 2259, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
15991, -1710, 2248, 2395, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16037, -1520, 707, 1103, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16069, -2239, 2, 1076, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16102, -2979, -243, 1100, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16134, -3130, -1148, 1286, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16167, -3393, -1360, 1144, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16200, -3480, -1175, 900, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16232, -3372, -1478, 436, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16265, -2854, -1971, -7, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16298, -2645, -2099, -155, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16330, -2408, -2672, -280, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16363, -2456, -2685, -303, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16396, -2446, -2757, -557, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16434, -2578, -2856, -396, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16473, -2648, -2968, -374, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16511, -2738, -2871, -323, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16550, -2717, -2911, -261, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16589, -2847, -2807, -210, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16627, -2892, -2768, -305, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16666, -3026, -2762, -235, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16704, -3112, -2777, -169, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16743, -3073, -2743, -240, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16782, -3050, -2684, -114, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16822, -3065, -2586, -124, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16863, -3138, -2574, -158, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16903, -3169, -2496, -94, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16944, -3263, -2401, -32, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
16984, -3275, -2360, -7, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17025, -3352, -2265, 36, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17065, -3369, -2240, 126, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17106, -3434, -2216, 78, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17146, -3430, -2113, 175, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17187, -3389, -2080, 249, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17227, -3763, -1982, 230, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17268, -3706, -1885, 246, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17309, -3722, -1719, 350, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17350, -3622, -1618, 315, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17391, -3633, -1534, 423, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17431, -3882, -1372, 621, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17472, -3664, -1366, 700, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17513, -3845, -1149, 778, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17554, -3687, -1118, 945, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17595, -3770, -1173, 1002, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17636, -3766, -1055, 1148, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17679, -3968, -856, 1162, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17722, -3924, -605, 1054, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17765, -3745, -383, 1061, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17808, -3534, -164, 1176, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17851, -3344, -119, 1456, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17894, -3313, -143, 1784, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17937, -3350, 186, 1928, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
17980, -3153, 387, 2209, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18023, -3101, 1066, 2101, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18066, -2959, 1190, 2074, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18096, -3039, 1706, 2759, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
