15003, 3987, 1275, -388, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15048, 3993, 1784, -247, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15081, 4007, 2113, -259, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15114, 3895, 2393, -59, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15147, 4240, 2343, 244, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15181, 4669, 2702, 409, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15214, 5014, 2790, 689, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15247, 5151, 3432, 609, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15280, 5551, 3384, 939, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15314, 5217, 3659, 845, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15347, 4883, 3719, 1665, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15380, 3711, 3601, 1692, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15414, 2982, 3493, 2487, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15452, 1940, 3293, 2276, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15490, 1001, 2493, 2717, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15529, -118, 1876, 2697, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15567, -914, 1726, 2637, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15606, -1313, 993, 2324, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15644, -1951, 1472, 2590, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15682, -1322, 1015, 2694, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15721, -1588, 741, 1960, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15759, -72, 438, 1406, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15798, -203, -6928, -6273, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15843, -317, -5374, -3771, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15888, -410, -3060, -3486, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15933, -1071, -1032, -635, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
15978, -2730, 206, 341, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16023, -2944, -36, 1313, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16068, -3699, 787, 2377, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16113, -3010, -69, 2449, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16158, -3397, 469, 3585, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16203, -2636, 22, 2824, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16248, -2498, 1538, 3737, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16282, -1893, -59, 3747, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16316, -2041, 2570, 3479, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16350, -1528, 749, 3951, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16384, -1268, 2104, 3732, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16418, -1408, 1919, 3522, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16452, -985, 1894, 4356, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16486, -1137, 2948, 3576, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16520, -836, 2543, 3386, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16554, -782, 3041, 3455, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16588, -871, 3155, 2917, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16623, -603, 3349, 2816, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
