148489, 4100, 287, -445, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148526, 4065, 297, -407, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148563, 4084, 396, -417, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148600, 4099, 503, -482, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148643, 4071, 671, -265, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148687, 4028, 994, -398, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148730, 3938, 1455, -804, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148774, 4130, 1353, -549, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148817, 4056, 1314, -761, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148861, 4198, 1939, -841, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148904, 4464, 2145, -264, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148948, 4850, 2576, 138, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
148991, 5240, 2987, 385, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149035, 5332, 3293, 65, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149066, 4746, 3590, 423, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149098, 4146, 3490, 1437, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149129, 3656, 4077, 1336, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149161, 3062, 3501, 2296, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149192, 1929, 3636, 2409, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149224, 1216, 3454, 2772, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149255, 255, 2944, 2757, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149287, -537, 2480, 2676, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149318, -1275, 2026, 2731, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149350, -1911, 1285, 2269, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149382, -2195, 617, 2114, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
