30626, 3499, 2012, 929, , 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30670, 3529, 1970, 969, , 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30714, 3518, 1953, 983, , 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30758, 3548, 1882, 925, , 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30802, 3583, 2018, 989, , 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30845, 3731, 2219, 1113, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30888, 4063, 3171, 1339, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30932, 3577, 1688, 1542, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
30975, 3821, 2263, 2197, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31019, 4260, 3528, 2149, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31062, 3778, 3921, 2152, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31105, 3233, 4264, 2403, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31149, 2952, 4261, 2719, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31192, 2033, 3852, 2861, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31236, 1504, 4133, 3071, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31267, 1018, 3472, 2984, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31299, 395, 3050, 2860, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31331, -163, 2647, 1948, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31362, -1176, 1367, 2114, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31394, -1704, 747, 1366, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31426, -2177, 700, 1302, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31458, -2575, 29, 893, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31489, -2582, 1, 715, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31521, -2908, -444, 766, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31553, -2965, -615, 761, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31585, -3189, -747, 1195, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31625, -3397, -739, 1250, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31665, -3534, -456, 1175, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31706, -3504, -586, 1248, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31746, -3472, -841, 974, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31787, -3369, -1131, 295, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31827, -2885, -1091, -54, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31867, -1969, -515, 857, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31908, -1787, 222, 1889, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31948, -3077, 1230, 1808, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
31989, -3306, 1693, 1940, 106, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32025, -4429, 2219, 256, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32062, -1043, 4618, 1261, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32099, 241, 4047, 2922, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32136, 273, 4682, 3443, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32173, 1478, 1270, 5901, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32209, 3995, 3025, -14282, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32246, -280, 8759, 3072, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32283, 915, 4837, 1364, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32320, 1298, 4621, 19, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32357, 810, 3835, 587, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32394, 322, 3998, 1040, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32434, 722, 4072, 658, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32475, 696, 4221, 331, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32516, 404, 4095, 709, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32557, 436, 3910, 794, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32598, 664, 3938, 545, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
32638, 706, 4017, 454, 104, 2a19645a-651b-4ab9-83c4-1dd23ecd4536, , takbir, takbiratulihram, , 
