41121, 4036, 664, -446, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41161, 4046, 644, -467, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41201, 4066, 677, -457, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41241, 4052, 722, -487, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41281, 4044, 719, -440, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41321, 4006, 768, -465, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41361, 4000, 929, -452, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41401, 4016, 1194, -467, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41441, 4015, 1136, -360, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41482, 3900, 1685, -579, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41522, 3919, 1814, -712, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41563, 3961, 1904, -783, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41603, 4102, 2907, -501, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41644, 4406, 2192, 15, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41684, 4405, 3561, -448, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41725, 4991, 3418, 93, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41765, 4701, 3434, 127, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41806, 4209, 3901, 465, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41843, 4108, 3729, 925, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41880, 3457, 4182, 1132, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41917, 2941, 4045, 2102, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41954, 2068, 3974, 2130, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
41991, 1084, 3573, 2802, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42029, 529, 3073, 2547, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42066, -315, 2926, 2915, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42103, -534, 2455, 2551, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42140, -965, 2347, 2671, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42177, -1061, 2458, 3061, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42215, -809, 1909, 2307, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42259, -835, -1209, -94, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42304, -385, -2746, -1602, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42348, -1094, -4853, -2432, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42393, -1568, -5136, -2487, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42438, -1983, -3501, -1025, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42482, -2688, -1983, -119, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42527, -3115, -1728, 579, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42571, -3421, -2198, 539, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42616, -3396, -2522, 629, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42661, -3388, -2753, 362, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42698, -3421, -2436, 357, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42735, -3350, -2403, 312, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42773, -3372, -2088, 496, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42810, -3333, -2160, 572, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42848, -3404, -2052, 797, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42885, -3433, -2046, 731, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42923, -3479, -2010, 784, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42960, -3505, -1989, 866, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
42998, -3499, -1935, 898, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43035, -3520, -1907, 1021, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43073, -3530, -1878, 987, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43107, -3475, -1886, 1008, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43141, -3497, -1874, 1017, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43175, -3528, -1826, 1098, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43209, -3525, -1865, 1108, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43244, -3595, -1857, 1187, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43278, -3579, -1831, 1145, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43312, -3545, -1764, 1204, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43346, -3581, -1752, 1173, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
