24751, 4098, 413, 76, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
24792, 4133, 523, 109, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
24840, 4100, 679, 6, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
24888, 4121, 738, 7, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
24936, 4126, 904, 314, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
24985, 4277, 1311, 625, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25033, 4702, 1668, 595, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25081, 4795, 2011, 53, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25130, 4824, 2542, -323, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25178, 4732, 3018, -176, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25226, 4456, 3236, 29, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25275, 4051, 3166, 230, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25306, 3734, 3503, 599, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25337, 3343, 3820, 915, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25368, 2787, 4168, 962, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25400, 2228, 4107, 1614, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25431, 1356, 4129, 1643, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
