111972, 2027, 2444, 2656, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112006, 2020, 2459, 2672, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112040, 1987, 2463, 2664, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112074, 1942, 2500, 2679, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112114, 1964, 2524, 2670, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112155, 1927, 2538, 2636, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112196, 1961, 2560, 2613, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112237, 1976, 2563, 2635, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112278, 1982, 2510, 2641, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112318, 1948, 2554, 2620, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112359, 1943, 2590, 2632, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112400, 1975, 2575, 2592, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112441, 1958, 2542, 2576, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112482, 1958, 2554, 2610, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112523, 1944, 2580, 2596, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112559, 1949, 2570, 2583, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112595, 1936, 2598, 2609, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112631, 1916, 2605, 2592, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112667, 1916, 2608, 2592, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112703, 1907, 2598, 2586, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112739, 1951, 2604, 2579, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112775, 1933, 2601, 2583, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112811, 1911, 2603, 2572, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112847, 1915, 2608, 2585, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112884, 1934, 2607, 2594, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112927, 1902, 2619, 2596, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
112970, 1906, 2631, 2576, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113013, 1896, 2608, 2578, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113056, 1900, 2618, 2609, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113099, 1851, 2636, 2579, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113142, 1907, 2616, 2566, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113185, 1899, 2607, 2583, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113228, 1923, 2605, 2588, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113271, 1878, 2637, 2598, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113314, 1855, 2637, 2562, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113347, 1913, 2622, 2583, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113381, 1917, 2598, 2616, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113414, 1912, 2629, 2570, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113448, 1886, 2605, 2597, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113481, 1885, 2625, 2589, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113515, 1877, 2635, 2589, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113548, 1866, 2624, 2621, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
113582, 1867, 2624, 2603, 74, 5c9f4127-dd46-4da8-88d8-14c78ad28766, , duduk, duduk_tasyahud_akhir, , 
