146563, 1329, 2101, 3418, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146600, 1381, 2160, 3337, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146637, 1320, 2116, 3267, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146674, 1281, 2046, 3386, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146711, 1254, 2059, 3358, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146748, 1270, 2137, 3314, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146786, 1207, 2124, 3321, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146823, 1280, 2096, 3345, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146860, 1749, 2193, 3407, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146897, 1216, 2143, 3297, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146934, 1112, 2207, 3283, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
146972, 1247, 2215, 3331, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147010, 1177, 2205, 3280, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147049, 1172, 2194, 3287, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147087, 1194, 2252, 3312, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147126, 1179, 2194, 3291, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147164, 1190, 2189, 3307, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147203, 1191, 2201, 3298, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147241, 1159, 2205, 3279, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147280, 1179, 2227, 3284, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147318, 1193, 2244, 3305, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147357, 1181, 2207, 3275, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147395, 1182, 2199, 3275, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147433, 1179, 2252, 3297, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147471, 1158, 2240, 3309, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147509, 1162, 2211, 3290, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147547, 1177, 2239, 3284, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147586, 1185, 2228, 3312, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147624, 1170, 2249, 3260, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147662, 1150, 2199, 3287, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147700, 1167, 2252, 3309, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147738, 1170, 2230, 3272, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147777, 1184, 2247, 3306, 97, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147816, 1196, 2208, 3273, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147856, 1169, 2228, 3268, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147895, 1156, 2269, 3291, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147935, 1158, 2263, 3297, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
147975, 1179, 2252, 3275, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148014, 1161, 2222, 3283, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148054, 1158, 2259, 3293, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148093, 1160, 2228, 3262, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148133, 1171, 2238, 3271, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148173, 1133, 2280, 3273, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148212, 1156, 2248, 3265, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148252, 1141, 2229, 3272, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148292, 1162, 2268, 3284, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148332, 1147, 2242, 3248, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148372, 1156, 2241, 3264, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148412, 1142, 2238, 3281, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148452, 1158, 2240, 3253, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148492, 1157, 2288, 3256, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148532, 1140, 2255, 3256, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148572, 1148, 2253, 3270, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148607, 1137, 2261, 3278, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148643, 1147, 2268, 3279, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148678, 1164, 2267, 3241, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148714, 1133, 2247, 3245, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148749, 1138, 2263, 3283, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148785, 1161, 2274, 3251, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148820, 1164, 2282, 3285, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148856, 1122, 2285, 3271, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148891, 1148, 2247, 3256, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148927, 1136, 2277, 3263, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
148963, 1147, 2267, 3259, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149007, 1156, 2300, 3256, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149052, 1130, 2291, 3240, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149097, 1132, 2258, 3253, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149142, 1161, 2299, 3276, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149187, 1133, 2270, 3255, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149232, 1139, 2260, 3265, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149277, 1130, 2294, 3286, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149322, 1141, 2299, 3242, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149367, 1134, 2275, 3252, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149412, 1152, 2253, 3268, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149446, 1132, 2300, 3256, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149480, 1144, 2267, 3267, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149514, 1120, 2273, 3276, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149549, 1132, 2297, 3248, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149583, 1142, 2275, 3260, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149617, 1162, 2280, 3269, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149651, 1141, 2268, 3260, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149686, 1154, 2274, 3256, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149720, 1113, 2256, 3252, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149754, 1140, 2287, 3254, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149789, 1156, 2271, 3268, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149826, 1144, 2281, 3261, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149863, 1145, 2298, 3262, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149901, 1138, 2289, 3249, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149938, 1129, 2287, 3260, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
149976, 1122, 2276, 3275, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150013, 1130, 2294, 3262, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150050, 1151, 2276, 3259, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150088, 1140, 2254, 3264, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150125, 1146, 2289, 3291, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150163, 1121, 2276, 3270, 96, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150203, 1129, 2303, 3267, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150244, 1161, 2291, 3246, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150285, 1163, 2294, 3259, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150326, 1137, 2241, 3265, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150367, 1124, 2284, 3253, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150408, 1132, 2286, 3245, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150449, 1135, 2285, 3264, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150490, 1139, 2290, 3268, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150531, 1122, 2304, 3266, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150572, 1141, 2288, 3254, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150608, 1170, 2256, 3273, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150645, 1132, 2282, 3263, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150681, 1153, 2294, 3234, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150718, 1132, 2288, 3260, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150755, 1137, 2262, 3253, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150791, 1158, 2296, 3270, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150828, 1135, 2273, 3253, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150865, 1140, 2275, 3275, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150901, 1135, 2285, 3240, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150938, 1151, 2293, 3250, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
150975, 1145, 2278, 3252, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151021, 1178, 2247, 3253, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151068, 1173, 2279, 3252, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151115, 1168, 2272, 3249, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151161, 1163, 2263, 3260, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151208, 1157, 2294, 3275, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151255, 1166, 2254, 3240, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151301, 1179, 2287, 3275, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151348, 1181, 2265, 3230, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151395, 1170, 2288, 3256, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151442, 1142, 2276, 3292, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151476, 1169, 2296, 3247, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151510, 1178, 2285, 3238, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151544, 1188, 2284, 3253, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
