340481, 2143, 1485, 3193, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340518, 2136, 1624, 3175, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340555, 2132, 1673, 3162, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340592, 2156, 1623, 3193, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340628, 2222, 1560, 3116, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340665, 2257, 1497, 3143, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340702, 2213, 1550, 3148, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340739, 2207, 1574, 3140, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340778, 2243, 1521, 3141, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340818, 2223, 1581, 3135, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340857, 2197, 1546, 3157, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340897, 2167, 1585, 3135, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340936, 2182, 1563, 3137, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
340976, 2190, 1592, 3182, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341015, 2186, 1574, 3182, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341055, 2219, 1554, 3169, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341094, 2197, 1542, 3176, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341134, 2186, 1491, 3214, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341170, 2169, 1667, 3083, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341207, 2190, 1607, 3146, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341243, 2191, 1579, 3167, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341280, 2173, 1579, 3143, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341317, 2155, 1596, 3153, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341353, 2153, 1673, 3145, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341390, 2143, 1610, 3155, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341427, 2156, 1578, 3187, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341463, 2138, 1590, 3186, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341500, 2175, 1582, 3187, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341537, 2145, 1634, 3159, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341575, 2122, 1632, 3161, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341614, 2124, 1622, 3146, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341653, 2149, 1605, 3174, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341692, 2148, 1621, 3168, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341731, 2158, 1591, 3214, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341770, 2107, 1638, 3152, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341809, 2122, 1671, 3164, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341848, 2131, 1628, 3172, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341887, 2129, 1660, 3182, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341926, 2134, 1651, 3160, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
341968, 2112, 1625, 3181, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342011, 2125, 1630, 3173, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342053, 2105, 1678, 3191, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342096, 2113, 1627, 3178, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342138, 2145, 1652, 3156, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342181, 2147, 1637, 3179, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342223, 2114, 1633, 3156, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342266, 2104, 1662, 3162, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342308, 2101, 1661, 3170, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342351, 2097, 1625, 3166, 78, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342390, 2113, 1658, 3172, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342430, 2250, 2232, 3344, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342469, 2476, 3202, 3522, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342509, 3916, 3437, 4247, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342549, 3745, 3807, 4378, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342588, 3248, 4073, 3864, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342628, 2300, 4161, 3138, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342668, 1442, 3140, 2079, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342707, 753, 3272, 1964, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342747, -148, 2325, 1240, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342787, -668, 3084, 1448, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342820, -895, 2092, 1530, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342854, -1083, 2433, 1779, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342888, -1311, 2424, 2030, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
