271001, 2429, 2104, 2520, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271035, 2419, 2174, 2595, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271070, 2440, 2166, 2592, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271105, 2426, 2147, 2570, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271139, 2394, 2166, 2610, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271174, 2424, 2139, 2533, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271209, 2430, 2173, 2568, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271249, 2379, 2119, 2589, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271290, 2391, 2199, 2563, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271330, 2409, 2185, 2589, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271371, 2403, 2146, 2607, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271411, 2394, 2140, 2572, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271452, 2459, 2143, 2616, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271492, 2376, 2195, 2617, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271533, 2383, 2209, 2587, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271573, 2422, 2136, 2573, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271614, 2418, 2164, 2582, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
271647, 2417, 2191, 2585, 96, bad97c08-8385-4cb7-976c-53d1943ec04c, , duduk, duduk_tasyahud_akhir, , 
