103979, 1351, 1692, 3087, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104018, 1099, 2078, 3330, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104057, 1007, 2089, 3560, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104095, 963, 2044, 3575, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104134, 770, 2147, 3601, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104173, 679, 2371, 3593, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104211, 774, 2372, 3697, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104250, 1145, 2262, 3115, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104289, 1471, 2249, 3141, 79, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104327, 1479, 2172, 3368, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104365, 1178, 2186, 3470, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104403, 1415, 2285, 3214, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104442, 1721, 2162, 3263, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104480, 1738, 2073, 3227, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104518, 1823, 2196, 2979, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104557, 1803, 2215, 2933, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104595, 1963, 2223, 2994, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104633, 1828, 2048, 3120, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104672, 1656, 2143, 3237, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104711, 1585, 2155, 3164, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104750, 1495, 2203, 3183, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104789, 1371, 2183, 3143, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104828, 1436, 2241, 3257, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104867, 1440, 2241, 3175, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104906, 1492, 2235, 3175, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104945, 1457, 2230, 3198, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
104984, 1466, 2292, 3165, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105023, 1448, 2273, 3131, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105063, 1460, 2327, 3114, 82, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105101, 1440, 2340, 3108, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105139, 1434, 2321, 3109, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105177, 1461, 2320, 3137, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105216, 1419, 2308, 3134, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105254, 1389, 2339, 3114, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105292, 1396, 2331, 3117, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105330, 1369, 2352, 3102, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105369, 1357, 2361, 3107, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105407, 1355, 2384, 3113, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105445, 1364, 2382, 3116, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105484, 1367, 2386, 3129, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105522, 1379, 2364, 3108, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105560, 1322, 2376, 3089, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105598, 1349, 2393, 3113, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105636, 1333, 2383, 3092, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105674, 1328, 2407, 3092, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105712, 1366, 2391, 3116, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105750, 1336, 2385, 3098, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105788, 1340, 2355, 3105, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105826, 1323, 2373, 3125, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105865, 1339, 2402, 3121, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105905, 1346, 2378, 3098, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105945, 1384, 2396, 3101, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
105985, 1352, 2404, 3107, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106025, 1334, 2383, 3101, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106065, 1328, 2373, 3100, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106105, 1357, 2398, 3093, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106145, 1364, 2408, 3098, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106185, 1323, 2411, 3107, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106225, 1319, 2397, 3102, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106265, 1325, 2395, 3112, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106305, 1358, 2400, 3110, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106339, 1322, 2404, 3110, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106374, 1333, 2412, 3086, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106409, 1338, 2405, 3078, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106444, 1333, 2413, 3097, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106479, 1339, 2416, 3109, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106514, 1344, 2410, 3119, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106549, 1332, 2406, 3099, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106584, 1338, 2378, 3086, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106619, 1311, 2416, 3095, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106654, 1321, 2417, 3110, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106695, 1308, 2406, 3102, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106736, 1326, 2416, 3108, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106777, 1330, 2403, 3092, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106818, 1294, 2410, 3102, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106859, 1309, 2418, 3100, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106900, 1339, 2405, 3085, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106941, 1327, 2427, 3092, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
106982, 1308, 2404, 3096, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107023, 1297, 2424, 3086, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107065, 1335, 2418, 3093, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107103, 1343, 2398, 3079, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107141, 1333, 2427, 3109, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107180, 1314, 2416, 3089, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107218, 1313, 2423, 3080, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107257, 1337, 2418, 3111, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107295, 1342, 2424, 3085, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107334, 1343, 2424, 3082, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107372, 1343, 2412, 3089, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
107411, 1330, 2427, 3063, 83, d74fb9b1-6549-4706-830d-b2a07cd60b1e, , duduk, duduk_tasyahud_akhir, , 
