202192, 2773, 1715, 2664, 85, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202229, 2710, 1548, 2582, 85, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202267, 2822, 1682, 2609, 85, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202304, 2872, 1780, 2642, 85, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202341, 2701, 1586, 2507, 85, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202379, 2682, 1750, 2713, 85, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202419, 2720, 1852, 2737, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202459, 2657, 1686, 2615, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202499, 2721, 1800, 2695, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202539, 2693, 1745, 2579, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202579, 2676, 1697, 2571, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202619, 2721, 1711, 2648, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202659, 2711, 1675, 2661, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202699, 2726, 1753, 2642, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202739, 2691, 1765, 2625, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202779, 2676, 1726, 2618, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202815, 2608, 1799, 2709, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202852, 2658, 1827, 2665, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202889, 2652, 1748, 2586, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202926, 2697, 1777, 2643, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202963, 2686, 1740, 2582, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
202999, 2704, 1812, 2635, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203036, 2681, 1733, 2627, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203073, 2754, 1735, 2546, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203110, 2736, 1769, 2532, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203147, 2806, 1802, 2587, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203184, 2757, 1743, 2500, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203223, 2717, 1841, 2594, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203263, 2762, 1869, 2581, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203302, 2758, 1828, 2509, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203342, 2733, 1824, 2498, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203382, 2782, 1814, 2536, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203421, 2771, 1822, 2539, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203461, 2698, 1862, 2554, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203500, 2726, 1889, 2550, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203540, 2705, 1832, 2478, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203580, 2739, 1889, 2561, 83, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
203619, 2671, 1780, 2497, 82, f95714ab-7556-48c6-9b55-8e99bbd724ed, , duduk, duduk_tasyahud_akhir, , 
