300234, 2708, -71, 3238, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300277, 2645, 16, 3313, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300321, 2701, -24, 3205, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300364, 2737, -54, 3055, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300407, 2705, 11, 3072, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300451, 2597, -70, 3114, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300494, 2586, 74, 3237, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300538, 2587, -120, 3294, 90, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300572, 2685, -102, 3125, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300607, 2795, -27, 3167, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300642, 2770, -80, 3051, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300677, 2693, -145, 2987, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300712, 2783, -127, 3116, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300746, 2703, 53, 3045, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300781, 2679, -38, 3268, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300816, 2617, -69, 3203, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300851, 2657, 132, 3198, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300886, 2635, 105, 3201, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300921, 2590, 358, 3295, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300959, 2598, 421, 3324, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
300997, 2617, 339, 3622, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301035, 2556, -188, 2960, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301074, 2591, -84, 2947, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301112, 2824, 78, 3091, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301150, 2797, 66, 3159, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301189, 2804, 150, 3335, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301227, 2648, 82, 3011, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301265, 2747, 187, 3127, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301304, 2581, 79, 3011, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
301340, 2659, 384, 3507, 89, 5abe3eef-9b8f-4dde-88f4-13e34d31d9d9, , duduk, duduk_tasyahud_akhir, , 
