144253, 2244, 2051, 2669, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144292, 2309, 1770, 2750, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144331, 2210, 1621, 2970, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144370, 2226, 1723, 3042, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144409, 2266, 1808, 3052, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144447, 2239, 1704, 2863, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144486, 2186, 1843, 2792, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144525, 2083, 2149, 2880, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144564, 1883, 2041, 3248, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144603, 1963, 2047, 3381, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144638, 1950, 2025, 3336, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144674, 1881, 2004, 3290, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144710, 1984, 1948, 3149, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144746, 2147, 1933, 2802, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144782, 2194, 1953, 3142, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144817, 2076, 1582, 3214, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144853, 2261, 1866, 3244, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144889, 2115, 1864, 3165, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144925, 2055, 1759, 3175, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144961, 2068, 1645, 3206, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
144997, 2313, 1493, 3197, 85, a40a462b-aecf-4e49-b87d-3a0926bf6d01, , duduk, duduk_tasyahud_akhir, , 
