185119, 1809, 2338, 2891, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185156, 1806, 2356, 2875, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185194, 1872, 2365, 2894, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185231, 1865, 2316, 2865, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185269, 1873, 2328, 2861, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185307, 1859, 2358, 2879, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185344, 1845, 2394, 2884, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185382, 1822, 2362, 2865, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185420, 1844, 2379, 2856, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185457, 1824, 2366, 2860, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185495, 1822, 2398, 2874, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185533, 1841, 2353, 2868, 80, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185570, 1848, 2345, 2859, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185607, 1825, 2374, 2864, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185644, 1837, 2409, 2865, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185681, 1828, 2405, 2849, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185718, 1800, 2394, 2861, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185755, 1808, 2393, 2879, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185792, 1833, 2413, 2832, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185829, 1866, 2369, 2851, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185866, 1846, 2397, 2872, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185904, 1822, 2384, 2832, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185941, 1858, 2397, 2842, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
185978, 1840, 2402, 2881, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186015, 1814, 2385, 2846, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186052, 1824, 2376, 2845, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186089, 1825, 2395, 2841, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186127, 1831, 2382, 2864, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186164, 1814, 2398, 2865, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186201, 1831, 2388, 2845, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186238, 1835, 2401, 2831, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186275, 1840, 2383, 2854, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186313, 1823, 2395, 2853, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186354, 1844, 2377, 2857, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186396, 1779, 2399, 2861, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186438, 1793, 2404, 2852, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186479, 1822, 2411, 2831, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186521, 1860, 2390, 2846, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186563, 1830, 2371, 2859, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186604, 1826, 2383, 2838, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186646, 1838, 2386, 2853, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186688, 1830, 2414, 2878, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
186730, 1804, 2407, 2871, 78, 96795328-2129-4978-a6d2-6d30cee78842, , duduk, duduk_tasyahud_akhir, , 
