230938, 1735, 2358, 2922, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
230977, 1741, 2380, 2931, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231015, 1770, 2424, 2928, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231054, 1796, 2396, 2955, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231089, 1823, 2325, 2942, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231124, 1808, 2280, 2956, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231160, 1794, 2320, 2982, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231195, 1769, 2346, 2963, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231231, 1762, 2335, 2923, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231266, 1723, 2357, 2942, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231302, 1662, 2380, 2912, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231337, 1684, 2409, 2918, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231373, 1733, 2393, 2937, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231408, 1755, 2356, 2964, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231444, 1776, 2323, 2935, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231491, 1774, 2344, 2962, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231539, 1740, 2359, 2963, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231587, 1709, 2368, 2944, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231634, 1717, 2369, 2939, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231682, 1705, 2372, 2924, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231730, 1695, 2361, 2945, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231777, 1699, 2387, 2944, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231825, 1699, 2387, 2953, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231873, 1728, 2351, 2954, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231921, 1704, 2346, 2956, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231954, 1750, 2341, 2950, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
231988, 1722, 2350, 2944, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
232021, 1693, 2385, 2952, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
232055, 1688, 2389, 2951, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
232088, 1706, 2367, 2939, 96, b364aed7-d2f5-489e-9f04-76621f28f1cb, , duduk, duduk_tasyahud_akhir, , 
