136411, 2510, 1815, 2854, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136451, 2514, 1817, 2814, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136490, 2535, 1822, 2802, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136530, 2541, 1747, 2795, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136569, 2529, 1720, 2785, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136609, 2544, 1764, 2795, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136648, 2501, 1781, 2811, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136688, 2480, 1796, 2797, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136722, 2462, 1819, 2790, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136757, 2468, 1851, 2791, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136792, 2368, 1826, 2817, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136827, 2379, 1889, 2851, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136862, 2405, 1900, 2829, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136896, 2371, 1843, 2803, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136931, 2367, 1878, 2839, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
136966, 2398, 1873, 2818, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137001, 2347, 1875, 2769, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137036, 2430, 1915, 2842, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137072, 2398, 1870, 2819, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137109, 2437, 1834, 2798, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137146, 2433, 1864, 2826, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137182, 2435, 1860, 2821, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137219, 2421, 1828, 2788, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137256, 2442, 1848, 2759, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137293, 2444, 1903, 2818, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137329, 2454, 1877, 2810, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137366, 2406, 1821, 2833, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137403, 2424, 1882, 2811, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137440, 2438, 1894, 2795, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
