34483, -1797, 1715, -3308, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34519, -1741, 1760, -3247, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34554, -1776, 1720, -3215, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34590, -1810, 1705, -3220, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34625, -1810, 1758, -3228, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34661, -1761, 1763, -3267, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34696, -1813, 1733, -3183, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34732, -1820, 1726, -3201, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34767, -1873, 1735, -3171, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34803, -1876, 1742, -3229, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34839, -1840, 1735, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34876, -1848, 1711, -3219, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34913, -1833, 1755, -3177, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34950, -1838, 1755, -3196, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
34987, -1864, 1777, -3232, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35023, -1837, 1783, -3204, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35060, -1852, 1714, -3232, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
