157524, -1654, 1614, -3417, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157561, -1788, 1404, -3426, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157599, -1847, 1540, -3495, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157637, -1616, 1452, -3564, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157677, -1723, 1163, -3575, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157717, -1753, 1456, -3569, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157757, -1783, 1331, -3526, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157797, -1851, 1403, -3400, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157838, -1775, 1375, -3515, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157878, -1768, 1425, -3393, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157918, -1771, 1239, -3256, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157958, -1847, 1314, -3302, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
157998, -1881, 1397, -3432, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158039, -1853, 1281, -3369, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158076, -1830, 1433, -3458, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158114, -1825, 1261, -3403, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158151, -1873, 1209, -3279, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158189, -1820, 1438, -3380, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158227, -1854, 1362, -3346, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158264, -1819, 1383, -3440, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158302, -1830, 1417, -3435, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158340, -1830, 1397, -3453, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158377, -1887, 1327, -3430, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158415, -1873, 1384, -3382, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158453, -1852, 1360, -3362, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158489, -1807, 1393, -3397, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
