228063, -2196, 1063, -3393, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228100, -2099, 1071, -3294, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228136, -2154, 1082, -3312, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228173, -2090, 1098, -3256, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228209, -2160, 1113, -3214, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228246, -2104, 1107, -3253, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228282, -2123, 1065, -3224, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228319, -2112, 1071, -3249, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228355, -2164, 1038, -3236, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228392, -2149, 1118, -3279, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228431, -2178, 1125, -3325, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228471, -2154, 1140, -3246, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228510, -2156, 1142, -3294, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228550, -2133, 1086, -3279, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228589, -2147, 1111, -3305, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228629, -2117, 1102, -3311, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228668, -2125, 1063, -3320, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228708, -2144, 1105, -3361, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228747, -2145, 1080, -3287, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228787, -2160, 1116, -3311, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228827, -2145, 1123, -3333, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228869, -2148, 1108, -3306, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228912, -2158, 1065, -3300, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228954, -2181, 1019, -3293, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
228997, -2179, 1087, -3308, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229039, -2133, 1085, -3291, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229082, -2160, 1086, -3287, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229124, -2181, 1107, -3255, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229167, -2191, 1097, -3318, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229209, -2132, 1019, -3359, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229252, -2210, 1138, -3343, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229286, -2187, 1058, -3241, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229320, -2192, 1072, -3318, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229354, -2189, 1036, -3218, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229388, -2185, 1040, -3294, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229422, -2150, 1052, -3211, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229456, -2183, 1083, -3313, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229490, -2182, 1085, -3250, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229524, -2183, 1039, -3277, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229558, -2208, 1154, -3262, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229592, -2168, 1124, -3278, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229630, -2175, 1130, -3290, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229669, -2182, 1107, -3289, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229708, -2212, 1129, -3272, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229747, -2184, 1167, -3263, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229786, -2202, 1151, -3243, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229824, -2194, 1130, -3266, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229863, -2193, 1154, -3247, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229902, -2175, 1174, -3252, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229941, -2155, 1200, -3282, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
229980, -2187, 1171, -3254, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230019, -2191, 1146, -3236, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230059, -2158, 1147, -3248, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230100, -2196, 1158, -3245, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230140, -2169, 1180, -3226, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230181, -2145, 1184, -3243, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230222, -2186, 1149, -3191, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230262, -2193, 1131, -3227, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230303, -2174, 1192, -3246, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230343, -2190, 1157, -3218, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230384, -2200, 1123, -3223, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230425, -2249, 1105, -3265, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230459, -2219, 1129, -3270, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230494, -2220, 1158, -3227, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230529, -2213, 1131, -3243, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230563, -2204, 1141, -3280, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230598, -2179, 1159, -3233, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230633, -2249, 1129, -3282, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230668, -2224, 1126, -3223, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230702, -2203, 1197, -3222, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230737, -2174, 1061, -3193, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230772, -2285, 1141, -3246, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230807, -2232, 1019, -3249, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230846, -2257, 1121, -3260, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230886, -2274, 1158, -3240, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230925, -2220, 1033, -3285, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
230965, -2291, 1233, -3263, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231005, -2249, 1140, -3215, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231044, -2084, 1108, -3161, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231084, -2226, 1119, -3163, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231123, -2396, 1219, -3191, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231163, -2228, 1160, -3160, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231203, -2248, 1179, -3168, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231243, -2309, 1142, -3217, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231283, -2281, 1270, -3149, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231323, -2253, 1233, -3177, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231363, -2305, 1200, -3179, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
