106572, -2075, 2356, -2588, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106607, -2053, 2345, -2570, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106644, -2027, 2261, -2478, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106681, -2025, 2155, -2423, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106718, -2065, 2329, -2543, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106755, -2096, 2349, -2577, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106792, -2170, 2339, -2631, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106829, -2159, 2448, -2596, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106866, -2210, 2348, -2582, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106903, -2190, 2367, -2557, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106940, -2142, 2376, -2582, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
106977, -2145, 2354, -2600, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107014, -2120, 2269, -2575, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107052, -2076, 2298, -2575, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107091, -2102, 2324, -2687, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107130, -2079, 2358, -2629, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107169, -2081, 2333, -2675, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107208, -2108, 2301, -2667, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107247, -2095, 2394, -2615, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107286, -2086, 2337, -2654, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107325, -2118, 2311, -2617, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
