119052, -2892, 1395, -2393, 71, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119091, -2963, 1379, -2470, 71, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119130, -2928, 1409, -2453, 71, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119169, -2948, 1413, -2514, 71, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119208, -2934, 1327, -2500, 71, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119243, -2972, 1398, -2515, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119278, -2939, 1402, -2455, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119314, -2974, 1344, -2482, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119349, -2953, 1414, -2512, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119384, -2939, 1336, -2478, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119420, -2927, 1430, -2463, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119455, -2968, 1338, -2479, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119490, -2958, 1360, -2501, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119526, -2940, 1386, -2512, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119561, -2943, 1338, -2455, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119597, -2973, 1386, -2395, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119641, -2981, 1356, -2478, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119685, -2941, 1380, -2493, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119729, -2935, 1372, -2432, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119773, -2953, 1346, -2448, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119817, -2961, 1409, -2395, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119861, -2927, 1375, -2410, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119905, -3033, 1397, -2494, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119949, -2915, 1401, -2425, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
119993, -2977, 1423, -2471, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120037, -2986, 1393, -2425, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120074, -2973, 1404, -2417, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120111, -2980, 1441, -2481, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120148, -2960, 1462, -2450, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120185, -2958, 1445, -2481, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120222, -2956, 1463, -2402, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120259, -2956, 1419, -2453, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120296, -2913, 1450, -2341, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120333, -2922, 1480, -2401, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120370, -2977, 1459, -2452, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120408, -2940, 1453, -2430, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120444, -2929, 1379, -2419, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120481, -2979, 1489, -2479, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120518, -2929, 1488, -2389, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120554, -2943, 1472, -2458, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120591, -2945, 1461, -2468, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120628, -2932, 1477, -2435, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120665, -2938, 1455, -2435, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120701, -2911, 1505, -2443, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120738, -2941, 1558, -2422, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120775, -2942, 1561, -2411, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120812, -2941, 1470, -2449, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120851, -2909, 1463, -2404, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120891, -2966, 1491, -2430, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
120931, -2920, 1481, -2431, 70, 4eb7c29f-1d81-4fd9-a47f-421981c69066, , qunut, qunut, , 
