125918, -1484, 1956, -3456, 73, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
125959, -1469, 1955, -3446, 73, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126000, -1436, 1935, -3411, 73, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126041, -1462, 1949, -3381, 73, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126077, -1504, 1869, -3344, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126114, -1497, 1881, -3285, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126150, -1509, 1877, -3246, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126187, -1526, 1848, -3230, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126223, -1547, 1813, -3258, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126260, -1532, 1848, -3247, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126296, -1570, 1854, -3286, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126333, -1569, 1859, -3221, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126369, -1583, 1863, -3207, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126406, -1586, 1893, -3201, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126443, -1553, 1957, -3239, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126483, -1601, 1959, -3238, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126523, -1596, 1976, -3234, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126563, -1608, 1973, -3219, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126604, -1602, 1944, -3225, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126644, -1606, 1924, -3238, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126684, -1606, 1939, -3239, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126725, -1597, 1897, -3231, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126765, -1615, 1905, -3208, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126805, -1622, 1859, -3175, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126846, -1633, 1884, -3152, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126881, -1613, 1897, -3167, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126917, -1571, 1926, -3244, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126953, -1580, 1980, -3269, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
126989, -1609, 1955, -3284, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127025, -1600, 1963, -3251, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127060, -1615, 1972, -3193, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127096, -1623, 1944, -3195, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127132, -1604, 1944, -3233, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127168, -1584, 1941, -3252, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127204, -1619, 1927, -3230, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127240, -1600, 1902, -3204, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127280, -1614, 1918, -3229, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127320, -1620, 1905, -3223, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127360, -1639, 1915, -3224, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127401, -1625, 1927, -3175, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127441, -1640, 1961, -3186, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127481, -1611, 1996, -3214, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127522, -1552, 2018, -3246, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
