124487, 4025, 1085, 520, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124527, 4006, 1208, 603, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124567, 3957, 1101, 818, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124607, 4007, 1428, 669, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124647, 4069, 1657, 468, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124687, 4167, 2123, 143, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124727, 4288, 2157, -85, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124767, 3980, 2141, -188, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124807, 3806, 2225, -653, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124848, 3549, 2927, -1141, 71, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124883, 3384, 2789, -1555, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124919, 3158, 2440, -1982, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124955, 2850, 3139, -2465, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
124991, 2649, 2404, -2559, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125027, 2252, 2467, -2888, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125063, 2017, 2215, -2854, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125099, 1564, 2120, -3019, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125135, 1345, 1998, -3233, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125171, 976, 1879, -3146, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125207, 674, 1905, -3284, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125243, 278, 1704, -3122, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125281, -53, 1719, -3202, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125320, -375, 1635, -3048, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125359, -616, 1587, -3133, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125398, -838, 1581, -3003, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125437, -964, 1533, -3166, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125476, -1135, 1588, -3022, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125515, -1171, 1669, -3158, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125554, -1254, 1716, -3369, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125593, -1381, 1668, -3362, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125632, -1443, 1700, -3247, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125672, -1512, 1658, -3307, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125713, -1585, 1708, -3213, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125754, -1555, 1794, -3177, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125795, -1536, 1816, -3297, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125836, -1569, 1863, -3335, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
125877, -1536, 1877, -3337, 73, 6f106d01-818c-4fba-9832-ab3e324fd14f, , transisi, transisi_berdiri_ke_qunut, , 
