105226, 4022, 739, -436, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105268, 4012, 720, -233, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105310, 4241, 834, 229, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105352, 4241, 1023, -259, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105394, 4045, 1985, -600, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105436, 4055, 1230, -462, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105469, 4120, 1880, -574, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105503, 4077, 1954, -635, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105536, 4092, 2131, -777, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105570, 4103, 2339, -1105, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105603, 3892, 2230, -1643, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105637, 3861, 2660, -2304, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105670, 3799, 3055, -2506, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105704, 3458, 2975, -2403, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105737, 2697, 3193, -2620, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105771, 2053, 3248, -2529, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105805, 1147, 3002, -3045, 75, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105851, 584, 2765, -2662, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105897, 163, 2529, -2421, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105943, -271, 2407, -2065, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
105989, -489, 2133, -1887, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106035, -961, 2013, -2014, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106081, -1262, 1903, -1670, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106127, -1165, 2284, -2085, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106173, -1997, 1926, -1706, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106219, -1817, 2263, -2165, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106265, -2161, 2177, -2004, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106299, -2186, 2215, -2166, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106333, -2284, 2331, -2081, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106367, -2313, 2202, -2175, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106401, -2220, 2640, -2681, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106436, -2272, 2502, -2677, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106470, -2248, 2516, -2716, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106504, -2136, 2440, -2652, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
106538, -2094, 2398, -2631, 76, f395dcd6-9808-425a-a858-b15fa985e668, , transisi, transisi_berdiri_ke_qunut, , 
