156577, 3947, 1290, -186, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156613, 4045, 1258, -16, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156650, 4100, 1486, 41, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156686, 4079, 1556, 70, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156723, 4002, 1892, -184, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156759, 3759, 2412, -361, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156796, 3794, 2621, -810, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156835, 3825, 2813, -599, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156874, 3631, 2842, -649, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156913, 3280, 2912, -1141, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156952, 2957, 3545, -1905, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
156991, 2555, 3184, -2039, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157030, 2298, 2949, -2218, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157069, 2001, 3163, -2565, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157108, 1674, 2831, -2618, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157147, 1457, 2896, -2908, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157186, 1042, 2756, -2816, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157223, 647, 2684, -2688, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157260, 170, 2461, -2777, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157297, -66, 2579, -2651, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157334, -389, 2401, -2634, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157371, -621, 2425, -2347, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
