250861, 4072, 361, -416, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
250899, 4073, 393, -456, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
250937, 4101, 318, -386, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
250975, 4071, 539, -481, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251013, 3993, 700, -483, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251052, 4048, 926, -458, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251090, 3963, 1052, -544, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251128, 4023, 1058, -585, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251166, 3999, 1277, -640, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251204, 4066, 1238, -667, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251243, 3985, 2127, -951, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251280, 4221, 1240, -271, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251318, 4159, 2917, -934, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251356, 4294, 2458, -1087, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251393, 3848, 1936, -1786, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251431, 4245, 2749, -2276, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251469, 4247, 2481, -2298, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251506, 4072, 2593, -3091, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251544, 3988, 2685, -3105, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251582, 3312, 2690, -3687, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251620, 2929, 2373, -3334, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251661, 2103, 2210, -3385, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251703, 1341, 1975, -2969, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251745, 470, 1775, -3060, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251786, 49, 1771, -2742, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251828, -616, 1664, -2703, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251870, -1349, 1569, -2867, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251911, -1495, 1373, -2466, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251953, -1430, 1262, -2651, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
251995, -2431, 1242, -2413, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252037, -2146, 765, -2601, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252073, -2096, 906, -2475, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252110, -2613, 1037, -2372, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252147, -2514, 976, -2410, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252184, -2856, 878, -2416, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252221, -2853, 712, -2478, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252257, -3009, 786, -2529, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252294, -2893, 702, -2323, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252331, -2986, 679, -2463, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252368, -2907, 735, -2405, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
