117350, 4084, 629, -422, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117387, 4053, 664, -384, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117423, 4099, 712, -414, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117460, 4066, 743, -361, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117497, 3975, 864, -418, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117534, 4007, 890, -410, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117571, 4041, 853, -470, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117608, 4036, 893, -504, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117647, 4000, 922, -588, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117687, 3921, 997, -427, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117727, 4010, 1242, -532, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117767, 4118, 1384, -329, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117807, 4094, 1807, -375, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117847, 4189, 1541, -351, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117887, 4015, 2421, -987, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117927, 4066, 2449, -1653, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
117967, 3950, 2627, -2103, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118007, 4021, 2726, -2483, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118046, 3565, 2793, -2648, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118086, 3318, 2905, -2752, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118125, 2697, 2697, -2949, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118165, 2278, 2740, -3026, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118205, 1646, 2497, -3186, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118244, 1053, 2176, -3155, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118284, 799, 2236, -3020, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118323, 66, 2009, -2718, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118363, -379, 1657, -2868, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118403, -859, 1633, -2871, 70, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118440, -1424, 1477, -2676, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118478, -1351, 1772, -2565, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118516, -1943, 1374, -2551, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118554, -1898, 1301, -2939, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118592, -2097, 1154, -2825, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118630, -2142, 1018, -2905, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118668, -2306, 907, -2684, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118706, -2552, 960, -2544, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118744, -2604, 1111, -2680, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118782, -2789, 896, -2483, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118820, -2853, 1192, -2657, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118858, -2828, 1291, -2474, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118897, -2897, 1183, -2504, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118936, -2863, 1209, -2513, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
118975, -2878, 1245, -2437, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
119014, -2878, 1320, -2385, 71, 3cdc424e-8352-4744-a9d9-18eda0f11224, , transisi, transisi_berdiri_ke_qunut, , 
