225873, 4016, 1183, -2, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
225907, 3988, 1158, -4, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
225940, 4036, 1057, -53, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
225974, 4018, 1231, 14, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226008, 3966, 1128, 57, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226051, 3958, 1253, 47, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226095, 3990, 1241, -22, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226138, 3941, 1257, -55, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226182, 3765, 2078, -100, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226226, 3893, 1560, -156, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226269, 3768, 2043, -329, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226313, 3783, 1888, -499, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226356, 3742, 2189, -703, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226400, 3655, 2103, -898, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226444, 3620, 2404, -1111, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226478, 3540, 2477, -1625, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226513, 3332, 2685, -2065, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226548, 3036, 2891, -2310, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226582, 2842, 2785, -2342, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226617, 2402, 2569, -2595, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226652, 2220, 2489, -2761, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226687, 1890, 2178, -2856, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226721, 1676, 2386, -3069, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226756, 1382, 2407, -3181, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226791, 1251, 2015, -3530, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226826, 844, 2222, -3520, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226863, 377, 1861, -3658, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226900, 197, 1551, -3586, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226937, -128, 1331, -3499, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
226974, -391, 1399, -3691, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227011, -491, 1145, -3578, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227048, -783, 1299, -3545, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227085, -982, 1091, -3458, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227122, -1186, 1113, -3303, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227159, -1244, 930, -3685, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227197, -1611, 1205, -3060, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227237, -1786, 1023, -3749, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227277, -1853, 855, -3000, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227317, -2041, 903, -3083, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227357, -2290, 862, -3107, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227397, -2143, 837, -3101, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227437, -2248, 761, -3070, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227477, -2266, 815, -3008, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227517, -2290, 758, -2957, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227557, -2297, 825, -2924, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227598, -2396, 850, -2913, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227637, -2347, 888, -2864, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227676, -2431, 1000, -2766, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227715, -2372, 1085, -2961, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227754, -2250, 1159, -2727, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227793, -2338, 939, -3061, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227832, -2387, 1007, -3213, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227871, -2211, 1282, -3382, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227910, -2377, 1228, -3592, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227949, -2327, 1231, -3572, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
227988, -2366, 1181, -3494, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
228027, -2215, 1058, -3481, 103, 7542007a-1d2a-4b39-8083-b3c67a3187d2, , transisi, transisi_berdiri_ke_qunut, , 
