117374, 3726, 1770, 139, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117409, 3815, 1793, 119, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117444, 3732, 1971, 79, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117479, 3746, 2042, 112, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117514, 3790, 2225, 173, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117549, 3819, 2273, 569, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117584, 3904, 2398, 312, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117625, 3677, 2751, -6, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117667, 3529, 2947, -141, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117709, 3314, 3144, -571, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117750, 3068, 3633, -924, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117792, 3009, 3314, -1239, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117834, 2602, 3358, -1614, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117875, 2280, 3549, -2320, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117917, 1964, 3442, -2539, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
117959, 1467, 3326, -3031, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118001, 1160, 3283, -2885, 77, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118036, 873, 3040, -2918, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118072, 588, 2290, -2975, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118108, 62, 2369, -2785, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118144, -243, 2378, -2566, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118180, -575, 2252, -2401, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118216, -881, 2145, -2084, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118252, -1235, 2102, -1960, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118288, -1539, 2159, -1884, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118324, -1789, 2062, -2015, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118360, -2011, 2217, -2249, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118396, -2150, 2102, -2191, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118441, -2223, 1956, -2374, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118486, -2308, 1987, -2176, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118531, -2435, 2087, -2176, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118576, -2553, 2165, -2172, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118622, -2580, 2264, -2288, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118667, -2583, 2337, -2363, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118712, -2500, 2418, -2493, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118757, -2450, 2292, -2536, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118802, -2391, 2267, -2556, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
118848, -2328, 2229, -2489, 78, 01b735b7-fc6d-4de4-ac21-f68d2ddc47bb, , transisi, transisi_berdiri_ke_qunut, , 
