292581, 4068, 530, -429, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292621, 4071, 551, -489, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292661, 4091, 587, -502, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292701, 4035, 584, -620, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292741, 3917, 873, -578, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292781, 3878, 1194, -406, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292821, 4042, 1174, -372, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292860, 3927, 1551, -331, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292900, 4170, 1684, -227, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292940, 4127, 1454, -307, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
292979, 3651, 3417, -698, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293019, 4087, 2590, -271, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293059, 3930, 3078, -1135, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293099, 4115, 3369, -1550, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293138, 4020, 3473, -2264, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293178, 3827, 3698, -2750, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293218, 3774, 3253, -3079, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293258, 3225, 3409, -3444, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293293, 2640, 2903, -3356, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293329, 2042, 2684, -3197, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293365, 1263, 2255, -3440, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293400, 743, 2148, -2788, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293436, -136, 1825, -2459, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293472, -765, 1739, -2451, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293507, -1222, 1617, -1696, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293543, -1033, 1095, -1961, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293579, -2269, 1909, -1729, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293615, -2412, 1274, -1778, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293654, -2278, 1445, -1658, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293694, -2472, 1475, -1666, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293734, -2491, 1573, -1836, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293773, -2602, 1573, -1849, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293813, -2499, 1714, -1980, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293853, -2650, 1508, -2235, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293893, -2733, 1632, -2087, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293932, -2800, 1792, -2233, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
293972, -2796, 1850, -2333, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294012, -3166, 1924, -2256, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294052, -2988, 2082, -2495, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294087, -3042, 2022, -2437, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294122, -2971, 2171, -2456, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294158, -2876, 2161, -2498, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294193, -2803, 2145, -2397, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294229, -2655, 2039, -2461, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294264, -2602, 2025, -2403, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294299, -2582, 2017, -2267, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
294335, -2639, 1980, -2275, 92, 5b0fca61-f499-4810-aef5-22b8d834617d, , transisi, transisi_berdiri_ke_qunut, , 
