156074, 3858, 1248, -542, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156112, 3870, 1194, -508, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156150, 3888, 1096, -491, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156188, 3863, 1325, -758, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156226, 4072, 1207, -469, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156263, 4185, 990, -436, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156301, 4140, 1074, -655, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156339, 4101, 1360, -899, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156377, 4449, 1313, -557, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156415, 4384, 1814, -859, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156453, 4692, 2032, -852, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156489, 4806, 2619, -1200, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156526, 4300, 2843, -1932, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156563, 4169, 3168, -2411, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156599, 3575, 2511, -2953, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156636, 2786, 2524, -2949, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156673, 2405, 2357, -3220, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156709, 1369, 1898, -3038, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156746, 913, 2074, -2778, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156783, 437, 1466, -2492, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156820, -174, 1701, -2673, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156860, -258, 1577, -2684, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156900, -636, 1138, -2681, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156941, -648, 1564, -2854, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
156981, -1165, 1373, -3617, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157022, -1047, 1621, -3288, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157062, -1040, 1451, -3493, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157102, -1230, 1487, -3070, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157143, -1178, 1379, -3282, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157183, -1444, 1501, -3055, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157224, -1479, 1289, -2715, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157261, -1732, 1285, -2908, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157299, -1718, 1373, -2698, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157336, -1723, 1354, -2777, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157374, -1788, 1403, -3336, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157411, -1714, 1567, -3183, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157449, -1587, 1612, -3671, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
157486, -1680, 1602, -3571, 85, 914f4305-5684-4af9-9317-c312f1633b8b, , transisi, transisi_berdiri_ke_qunut, , 
